Zip Code_1,school,City_1,State_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Average Net Price (Public)_1,Average Net Price (Private)_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,Prestige_3,Satisfaction_3,Resources & Facilities_3,Safety_3,Teacher Support_3,School Administration_3,Campus Setting_3,Average Score_3
17042,empire beauty school lebanon,lebanon,PA,23.0,,,,0.495750708215,,18220.0,,10667.0,20753.0,21300.0,,,,,,,,,,,,,,,,,,,,,,,
80123,empire beauty school littleton,littleton,CO,21.0,,,,0.548758865248,,17149.0,,10667.0,20914.0,23800.0,,,,,,,,,,,,,,,,,,,,,,,
4101,empire beauty school maine,portland,ME,13.0,,,,0.49463647199,,16411.0,,13000.0,21338.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,
2148,empire beauty school malden,malden,MA,21.0,,,,0.532075471698,,18689.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
10001,empire beauty school manhattan,new york,NY,11.0,,,,0.548758865248,,19553.0,,10667.0,20914.0,23800.0,,,,,,,,,,,,,,,,,,,,,,,
49544,empire beauty school michigan,grand rapids,MI,21.0,,,,0.495750708215,,16486.0,,10667.0,20753.0,21300.0,,,,,,,,,,,,,,,,,,,,,,,
23112,empire beauty school midlothian,midlothian,VA,21.0,,,,0.532075471698,,16821.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
53221,empire beauty school milwaukee,milwaukee,WI,11.0,,,,0.512385919166,,15591.0,,10231.0,22517.0,20900.0,,,,,,,,,,,,,,,,,,,,,,,
15146,empire beauty school monroeville,monroeville,PA,21.0,,,,0.532894736842,,17004.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
30260,empire beauty school morrow,morrow,GA,21.0,,,,0.520072992701,,16313.0,,10667.0,21941.0,22200.0,,,,,,,,,,,,,,,,,,,,,,,
37027,empire beauty school nashville,brentwood,TN,21.0,,,,0.532075471698,,13888.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
19154,empire beauty school ne philadelphia,philadelphia,PA,11.0,,,,0.515800203874,,17950.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
23602,empire beauty school newport news,newport news,VA,12.0,,,,0.532075471698,,14963.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
15237,empire beauty school north hills,pittsburgh,PA,21.0,,,,0.495750708215,,17807.0,,10667.0,20753.0,21300.0,,,,,,,,,,,,,,,,,,,,,,,
30345,empire beauty school northlake,atlanta,GA,21.0,,,,0.515800203874,,15771.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
21117,empire beauty school owings mills,owings mills,MD,21.0,,,,0.532894736842,,16462.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
10566,empire beauty school peekskill,peekskill,NY,21.0,,,,,,18627.0,,6554.0,26521.0,,,,,,,,,,,,,,,,,,,,,,,,
28226,empire beauty school pineville,charlotte,NC,21.0,,,,0.49463647199,,16090.0,,13000.0,21338.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,
17901,empire beauty school pottsville,pottsville,PA,32.0,,,,0.512385919166,,17399.0,,10231.0,22517.0,20900.0,,,,,,,,,,,,,,,,,,,,,,,
11103,empire beauty school queens,astoria,NY,11.0,,,,0.520072992701,,18439.0,,10667.0,21941.0,22200.0,,,,,,,,,,,,,,,,,,,,,,,
19605,empire beauty school reading,reading,PA,21.0,,,,0.532075471698,,18390.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
23294,empire beauty school richmond,richmond,VA,21.0,,,,0.532075471698,,17079.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
14626,empire beauty school rochester,rochester,NY,21.0,,,,0.548758865248,,17701.0,,10667.0,20914.0,23800.0,,,,,,,,,,,,,,,,,,,,,,,
31406,empire beauty school savannah,savannah,GA,12.0,,,,0.548758865248,,17452.0,,10667.0,20914.0,23800.0,,,,,,,,,,,,,,,,,,,,,,,
17876,empire beauty school shamokin dam,shamokin dam,PA,32.0,,,,0.532894736842,,17699.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
3878,empire beauty school somersworth,somersworth,NH,23.0,,,,0.637168141593,,10198.0,,6333.0,20254.0,21500.0,,,,,,,,,,,,,,,,,,,,,,,
46224,empire beauty school speedway,speedway,IN,21.0,,,,0.515800203874,,17267.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
55432,empire beauty school spring lake park,spring lake park,MN,21.0,,,,0.49463647199,,17445.0,,13000.0,21338.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,
19064,empire beauty school springfield,springfield,PA,21.0,,,,0.532894736842,,17417.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
60165,empire beauty school stone park,stone park,IL,21.0,,,,0.515800203874,,16869.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
33619,empire beauty school tampa,tampa,FL,21.0,,,,0.532075471698,,18774.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
80233,empire beauty school thornton,thornton,CO,21.0,,,,0.520072992701,,15322.0,,10667.0,21941.0,22200.0,,,,,,,,,,,,,,,,,,,,,,,
85716,empire beauty school tucson,tucson,AZ,11.0,,,,0.532894736842,,16609.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
85716,empire beauty school tucson,tucson,AZ,11.0,,,,0.532894736842,,16609.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
7083,empire beauty school union,union,NJ,21.0,,,,0.49463647199,,18215.0,,13000.0,21338.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,
60061,empire beauty school vernon hills,vernon hills,IL,21.0,,,,0.515800203874,,15388.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
23462,empire beauty school virginia beach,virginia beach,VA,11.0,,,,0.515800203874,,16162.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
2903,empire beauty school warwick,providence,RI,12.0,,,,0.512385919166,,19633.0,,10231.0,22517.0,20900.0,,,,,,,,,,,,,,,,,,,,,,,
27407,empire beauty school west greensboro,greensboro,NC,11.0,,,,0.515800203874,,16625.0,,13583.0,22421.0,25500.0,,,,,,,,,,,,,,,,,,,,,,,
15122,empire beauty school west mifflin,west mifflin,PA,21.0,,,,0.532894736842,,17716.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
33409,empire beauty school west palm,west palm beach,FL,21.0,,,,0.532894736842,,17362.0,,13000.0,23223.0,22900.0,,,,,,,,,,,,,,,,,,,,,,,
27106,empire beauty school winston salem,winston-salem,NC,11.0,,,,0.520072992701,,15478.0,,10667.0,21941.0,22200.0,,,,,,,,,,,,,,,,,,,,,,,
18507,empire beauty school wyoming valley,moosic,PA,21.0,,,,0.532075471698,,17467.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
17402,empire beauty school york,york,PA,22.0,,,,0.532075471698,,18035.0,,10667.0,23535.0,19400.0,,,,,,,,,,,,,,,,,,,,,,,
95403,empire college,santa rosa,CA,12.0,,,,0.696774193548,,,,13000.0,43818.0,31300.0,,,,,,,,,,,,,,,,,,,,,,,
12866,empire state university,saratoga springs,NY,23.0,8209.0,,,0.300669027942,11147.0,,18221.0,18730.0,52603.0,45100.0,,,,,,,,,,,,,,,,,,,,,,,
40517,employment solutions college for technical education,lexington,KY,11.0,,,,0.507462686567,,19115.0,,11600.0,16466.0,,,,,,,,,,,,,,,,,,,,,,,,
66801,emporia state university,emporia,KS,33.0,7089.0,1090.0,0.9774,0.480662983425,15702.0,,20527.0,19500.0,44930.0,36300.0,,,,,,,,,,,,,,,,31.0,57.1,47.6,78.6,57.1,59.5,47.6,54.07
1915,endicott college,beverly,MA,21.0,11198.0,1263.0,0.7229,0.742698191933,,39324.0,57533.0,27000.0,61678.0,53400.0,,,,,,,,,,,,,,,,,,,,,,,
84101,ensign college,salt lake city,UT,12.0,8623.0,,,0.104712041885,,10003.0,13892.0,,49054.0,39100.0,,,,,,,,,,,,,,,,,,,,,,,
36330,enterprise state community college,enterprise,AL,32.0,9427.0,,,0.101102941176,8187.0,,14798.0,7499.0,37816.0,40900.0,,,,,,,,,,,,,,,,,,,,,,,
36330,enterprise state community college,enterprise,AL,32.0,9427.0,,,0.101102941176,8187.0,,14798.0,7499.0,37816.0,40900.0,,,,,,,,,,,,,,,,,,,,,,,
68516,entourage institute of beauty and estics,lincoln,NE,11.0,,,,0.686274509804,,16906.0,,9955.0,18401.0,,,,,,,,,,,,,,,,,,,,,,,,
95841,epic bible college&graduate school,sacramento,CA,21.0,1852.0,,,,,,,,39618.0,33400.0,,,,,,,,,,,,,,,,,,,,,,,
78705,episcopal ological seminary of  southwest,austin,TX,11.0,8415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67212,eric fisher academy,wichita,KS,11.0,,,,0.8,,12934.0,,9339.0,26865.0,,,,,,,,,,,,,,,,,,,,,,,,
14224,erie 1 boces,west seneca,NY,21.0,,,,0.84347826087,11423.0,,,9500.0,43018.0,32100.0,,,,,,,,,,,,,,,,,,,,,,,
14006,erie 2 chautauqua cattaraugus boces practical nursing program,angola,NY,41.0,,,,,13555.0,,,,44615.0,33300.0,,,,,,,,,,,,,,,,,,,,,,,
14203,erie community college,buffalo,NY,11.0,5623.0,,,0.224965706447,6358.0,,12475.0,9250.0,38405.0,32600.0,,,,,,,,,,,,,,,,,,,,,,,
16565,erie institute of technology inc,erie,PA,22.0,4386.0,,,0.654545454545,,19173.0,25406.0,10738.0,39958.0,34700.0,,,,,,,,,,,,,,,,,,,,,,,
60654,erikson institute,chicago,IL,11.0,8527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29639,erskine college,due west,SC,42.0,5399.0,,0.6056,0.344262295082,,22018.0,54484.0,27000.0,43562.0,36600.0,,,,,,,,,,,,,,,,,,,,,,,
33610,erwin technical college,tampa,FL,11.0,,,,0.153846153846,7086.0,,,,36595.0,31400.0,,,,,,,,,,,,,,,,,,,,,,,
92025,escondido adult school,escondido,CA,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7102,essex county college,newark,NJ,11.0,7486.0,,,0.175101588474,4622.0,,11821.0,,33895.0,30100.0,,,,,,,,,,,,,,,,,,,,,,,
84403,esteem academy of beauty,south ogden,UT,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60077,estelle medical academy,skokie,IL,13.0,,,,0.852631578947,,9765.0,12300.0,5657.0,23320.0,25400.0,,,,,,,,,,,,,,,,,,,,,,,
60077,estelle skin care and spa institute,skokie,IL,13.0,,,,,,13837.0,,7136.0,31074.0,,,,,,,,,,,,,,,,,,,,,,,,
93291,estes institute of cosmetology arts and science,visalia,CA,12.0,,,,0.630434782609,,12990.0,,,18243.0,20000.0,,,,,,,,,,,,,,,,,,,,,,,
22182,estic institute,vienna,VA,21.0,,,,,,20717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85392,estrella mountain community college,avondale,AZ,21.0,9982.0,,,0.05472854641,12211.0,,17366.0,7500.0,42288.0,33800.0,,,,,,,,,,,,,,,,,,,,,,,
60527,eti school of skilled trades,willowbrook,IL,21.0,,,,0.765432098765,,27351.0,,9500.0,47687.0,38800.0,,,,,,,,,,,,,,,,,,,,,,,
44446,eti technical college,niles,OH,21.0,5595.0,,,0.598039215686,,13775.0,20701.0,13805.0,33222.0,22400.0,,,,,,,,,,,,,,,,,,,,,,,
89117,euphoria institute of beauty arts&sciences summerlin,las vegas,NV,11.0,,,,0.680608365019,,28513.0,,10521.0,33078.0,25600.0,,,,,,,,,,,,,,,,,,,,,,,
61530,eureka college,eureka,IL,31.0,5671.0,,0.8847,0.519230769231,,22048.0,38518.0,23250.0,44406.0,37500.0,,,,,,,,,,,,,,,,,,,,,,,
89117,european massage rapy school las vegas,las vegas,NV,11.0,,,,0.852631578947,,,,5657.0,23320.0,25400.0,,,,,,,,,,,,,,,,,,,,,,,
19608,european medical school of massage,sinking spring,PA,21.0,,,,,,27824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65802,evangel university,springfield,MO,12.0,5293.0,,0.693,0.512658227848,,18705.0,38931.0,24736.0,41521.0,36400.0,,,,,,,,,,,,,,,,,,,,,,,
65802,evangel university college of online learning,springfield,MO,12.0,4059.0,,0.45,0.512658227848,,18354.0,20433.0,24736.0,41521.0,36400.0,,,,,,,,,,,,,,,,,,,,,,,
65721,evangel university james river assembly of god church,ozark,MO,21.0,,,0.7121,0.512658227848,,21887.0,29251.0,24736.0,41521.0,36400.0,,,,,,,,,,,,,,,,,,,,,,,
84720,evans hairstyling college cedar city,cedar city,UT,33.0,,,,,,13453.0,,,16796.0,,,,,,,,,,,,,,,,,,,,,,,,
83440,evans hairstyling college rexburg,rexburg,ID,32.0,,,,,,9349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84770,evans hairstyling college st george,saint george,UT,12.0,,,,,,8513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98201,everett community college,everett,WA,12.0,8994.0,,,0.267214799589,10627.0,,19569.0,10417.0,43529.0,34900.0,,,,,,,,,,,,,,,,,,,,,,,
33431,everglades university,boca raton,FL,13.0,5176.0,,0.8644,0.375,,27704.0,36311.0,38996.0,41440.0,49100.0,,,,,,,,,,,,,,,,,,,,,,,
33183,everglades university   miami,miami,FL,,,,,0.375,,,,38996.0,41440.0,49100.0,,,,,,,,,,,,,,,,,,,,,,,
33609,everglades university   tampa,tampa,FL,,,,,0.375,,,,38996.0,41440.0,49100.0,,,,,,,,,,,,,,,,,,,,,,,
32751,everglades university orlando,maitland,FL,,,,,0.375,,,,38996.0,41440.0,49100.0,,,,,,,,,,,,,,,,,,,,,,,
34240,everglades university sarasota,sarasota,FL,,,,,0.375,,,,38996.0,41440.0,49100.0,,,,,,,,,,,,,,,,,,,,,,,
98208,evergreen beauty and barber college everett,everett,WA,12.0,,,,0.864130434783,,16340.0,,7917.0,29399.0,25200.0,,,,,,,,,,,,,,,,,,,,,,,
98505,evergreen state college,olympia,WA,22.0,9136.0,1161.0,0.9723,0.453667953668,22585.0,,25934.0,20500.0,40332.0,33700.0,,,,,,,,,,,,,,,,50.0,70.5,56.1,75.8,81.8,47.0,72.7,64.84
95135,evergreen valley college,san jose,CA,11.0,16877.0,,,0.073055773763,12591.0,,22557.0,13219.0,45344.0,36000.0,,,,,,,,,,,,,,,,,,,,,,,
73501,eves college of hairstyling,lawton,OK,13.0,,,,0.64,,15155.0,,7147.0,16139.0,17600.0,,,,,,,,,,,,,,,,,,,,,,,
63090,evolve beauty academy,washing,MO,32.0,,,,,,15266.0,,,25987.0,,,,,,,,,,,,,,,,,,,,,,,,
77833,evvaylois academy school of beauty,brenham,TX,32.0,,,,,,25564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12203,excelsior university,albany,NY,12.0,9053.0,,,0.335927367056,,,,13769.0,75790.0,68700.0,,,,,,,,,,,,,,,,,,,,,,,
79109,exposito school of hair design,amarillo,TX,12.0,,,,0.51724137931,,15547.0,,,24847.0,20200.0,,,,,,,,,,,,,,,,,,,,,,,
91730,fab school,rancho cucamonga,CA,21.0,,,,,,39612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22030,fairfax university of america,fairfax,VA,21.0,6722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6824,fairfield university,fairfield,CT,21.0,12997.0,1323.0,0.4498,0.824534161491,,46274.0,73371.0,26000.0,87663.0,68600.0,405,CT,C,144800.0,6271,Suburban,medium,"Fairfield University offers a broad, Jesuit education at its campus near the coast of Fairfield, Connecticut. The campus is a five minute drive to the beach and an hour long drive to New York City. All undergraduate students complete the school’s “Magis Core Curriculum,” designed to engage students with an expanse of “disciplinary perspectives,” the school says. The university bills itself as “The Modern Jesuit Catholic University.” offers more than 100 student clubs and organizations on campus, including several community service organizations, club and intramural sports. All admitted students are automatically considered for merit scholarships ranging from $15,000 to $28,000. Fairfield also offers more than 170 endowed, need-based scholarships.",fairfield-university,Private not-for-profit,Doctoral/Professional Universities,12,29728065.0,96.0,94.0,54.8,57.1,69.0,71.4,71.4,57.1,69.0,64.26
7940,fairleigh dickinson university florham campus,madison,NJ,21.0,9099.0,,0.9527,0.563025210084,,24415.0,52840.0,25000.0,52354.0,48800.0,448,NJ,,118500.0,3920,Suburban,medium,"Fairleigh Dickinson University’s Florham Campus in Morris County, New Jersey, is one of four campuses that operate under the FDU system. FDU Florham offers more than 60 undergraduate majors, with popular areas of study in psychology, business and communications. Fairleigh Dickinson offered more than $70 million worth of financial aid last year and 94% of full-time freshmen received some form of assistance. Florham’s 178 acre campus once belonged to socialite Florence Vanderbilt and her husband Hamilton Twombly. The university noted that the name Florham was derived from both their first names. Since 1958, FDU has owned and operated the campus, which remains primarily residential and houses nearly 1600 undergraduate and graduate students. Eighty percent of all freshmen stay on campus. The university boasts a thriving student life that includes fraternities and sororities, as well as a number of clubs and organizations; students must maintain at least a 2.0 grade point average to participate in clubs, a 2.3 GPA to hold a major office, and a 2.5 GPA to join Greek Life chapters. The FDU Florham Devils compete in the Middle Atlantic Freedom conference at the Division III level. Former basketball coach and ESPN College basketball analyst Seth Greenberg is one of many notable alumni to stem from Fairleigh Dickinson University.",fairleigh-dickinson-university-florham-campus,Private not-for-profit,Master's Colleges & Universities: Larger Programs,9,13705972.0,100.0,100.0,,,,,,,,
7666,fairleigh dickinson university metropolitan campus,teaneck,NJ,21.0,9501.0,,0.9591,0.563025210084,,15266.0,47791.0,25000.0,52354.0,48800.0,,,,,,,,,,,,,,,,,,,,,,,
26554,fairmont state university,fairmont,WV,32.0,7049.0,993.0,0.9924,0.360824742268,9055.0,,18091.0,21000.0,42893.0,35600.0,,,,,,,,,,,,,,,,,,,,,,,
50023,faith baptist bible college and ological seminary,ankeny,IA,21.0,5672.0,1088.0,0.4968,0.557142857143,,17819.0,30354.0,12971.0,34619.0,33900.0,,,,,,,,,,,,,,,,,,,,,,,
98407,faith international university,tacoma,WA,12.0,3871.0,,,,,18361.0,20793.0,17650.0,44584.0,,,,,,,,,,,,,,,,,,,,,,,,
33615,faith ological seminary and christian college,tampa,FL,21.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18017,falcon institute of health and science,bethlehem,PA,13.0,,,1.0,,,45181.0,50989.0,17083.0,,,,,,,,,,,,,,,,,,,,,,,,,
74804,family of faith christian university,shawnee,OK,42.0,1808.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11735,farmingdale state college,farmingdale,NY,21.0,9211.0,1104.0,0.6912,0.543362831858,9173.0,,17146.0,14718.0,63080.0,49800.0,336,NY,,112300.0,11251,Suburban,large,"Farmingdale State College is a mid-sized member of the State University of New York system on Long Island. The university offers 40 bachelor’s degree programs, ranging from Aeronautical Science to Sustainable Agriculture. In response to New York’s passage of the Marijuana Regulation and Taxation Act, Farmingdale State recently introduced a certificate program in Cannabis Production and Management for students. Farmingdale State’s student body is home-grown: about 90% of students hail from Long Island’s Nassau and Suffolk Counties. The Farmingdale State alumni network is more than 100,000 strong, including former NASA Astronaut Fernando Caldeiro.",farmingdale-state-college,Public,Baccalaureate Colleges: Diverse Fields,18,10267626.0,75.0,63.0,,,,,,,,
10001,fashion institute of technology,new york,NY,11.0,9473.0,,0.5761,0.766969909027,22024.0,,29732.0,12000.0,58998.0,47800.0,303,NY,,127200.0,9030,Urban,medium,"The Fashion Institute of Technology is a public college with a nine-building campus in New York City that offers undergraduate degrees in fashion design, fine arts, illustration, interior design, and more. The institute is part of the State University of New York system—one of the largest collections of schools in the country. Serving over 10,000 students, FIT occupies an entire block within the city. The institute encourages students to participate in passion projects and research opportunities, even providing thousands of dollars in funding to support certain collaborative and sustainable initiatives. More than 2,000 students live on campus, and FIT is home to more than 60 student organizations. The Fashion Institute of Technology Tigers fields 10 NJCAA Division III teams. Students celebrate FIT school spirit through a number of beloved traditions, such as Legacy Week for homecoming, as well as Grad Week, with a series of events like an annual block party to honor graduating students. Notable alumni include fashion designers Norma Kamali and Calvin Klein, interior designer Scott Salvato, and film director Joel Schumacher.",fashion-institute-of-technology,Public,Master's Colleges & Universities: Small Programs,17,5501380.0,73.0,54.0,,,,,,,,
36109,faulkner university,montgomery,AL,12.0,6574.0,1016.0,0.6613,0.354166666667,,21165.0,36910.0,23000.0,42211.0,37000.0,,,,,,,,,,,,,,,,,,,,,,,
36109,faulkner university,montgomery,AL,12.0,6574.0,1016.0,0.6613,0.354166666667,,21165.0,36910.0,23000.0,42211.0,37000.0,,,,,,,,,,,,,,,,,,,,,,,
51360,faust institute of cosmetology spirit lake,spirit lake,IA,33.0,,,,,,5498.0,,,22820.0,,,,,,,,,,,,,,,,,,,,,,,,
15024,fayette county career&technical institute,cheswick,PA,,,,,,,,,,46454.0,33300.0,,,,,,,,,,,,,,,,,,,,,,,
15401,fayette county career&technical institute practical nursing program,uniontown,PA,41.0,,,,,23414.0,,,,46454.0,33300.0,,,,,,,,,,,,,,,,,,,,,,,
25901,fayette institute of technology,oak hill,WV,23.0,,,,,5010.0,,,,40325.0,,,,,,,,,,,,,,,,,,,,,,,,
28301,fayetteville state university,fayetteville,NC,12.0,8899.0,972.0,0.7989,0.345703125,7360.0,,16098.0,22987.0,38524.0,30600.0,,,,,,,,,,,,,,,,,,,,,,,
28303,fayetteville technical community college,fayetteville,NC,12.0,7241.0,,,0.134439359268,3723.0,,11845.0,11500.0,29975.0,27100.0,,,,,,,,,,,,,,,,,,,,,,,
95971,fear river community college district,quincy,CA,43.0,12374.0,,,0.271966527197,6520.0,,16502.0,10750.0,35905.0,28700.0,,,,,,,,,,,,,,,,,,,,,,,
95834,federico beauty institute,sacramento,CA,21.0,,,,0.885167464115,,25736.0,,6333.0,24757.0,25100.0,,,,,,,,,,,,,,,,,,,,,,,
43231,felbry college,columbus,OH,11.0,5831.0,,0.6466,0.436781609195,,63922.0,66505.0,17000.0,,,,,,,,,,,,,,,,,,,,,,,,,
7644,felician university,lodi,NJ,21.0,7843.0,1020.0,0.9401,0.444672131148,,41315.0,50346.0,25000.0,54646.0,50500.0,,,,,,,,,,,,,,,,,,,,,,,
49307,ferris state university,big rapids,MI,33.0,10457.0,1001.0,0.8058,0.485877499207,12202.0,,26066.0,21000.0,52215.0,46100.0,,,,,,,,,,,,,,,,45.5,59.1,62.1,62.1,66.7,47.0,54.5,56.71
24088,ferrum college,ferrum,VA,42.0,5755.0,990.0,1.0,0.293598233996,,22085.0,54506.0,27000.0,41107.0,35800.0,,,,,,,,,,,,,,,,,,,,,,,
90015,fidm fashion institute of design&merchandising,los angeles,CA,11.0,4493.0,,0.415,0.740950226244,,41493.0,53393.0,13734.0,43436.0,40500.0,,,,,,,,,,,,,,,,,,,,,,,
93105,fielding graduate university,santa barbara,CA,13.0,6781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,fine mortuary college,norwood,MA,21.0,5000.0,,,0.65625,,,,30312.0,,,,,,,,,,,,,,,,,,,,,,,,,
14424,finger lakes community college,canandaigua,NY,41.0,7093.0,,,0.274932614555,14186.0,,19411.0,12975.0,36556.0,30900.0,,,,,,,,,,,,,,,,,,,,,,,
14456,finger lakes health college of nursing&health sciences,geneva,NY,32.0,6417.0,,,0.274932614555,,,,12975.0,36556.0,30900.0,,,,,,,,,,,,,,,,,,,,,,,
44870,firelands regional medical center school of nursing,sandusky,OH,13.0,,,,0.727272727273,,,,11750.0,66397.0,49900.0,,,,,,,,,,,,,,,,,,,,,,,
53511,first class cosmetology school,beloit,WI,13.0,,,,0.509803921569,,16411.0,,10194.0,20961.0,,,,,,,,,,,,,,,,,,,,,,,,
32202,first coast barber academy,jacksonville,FL,11.0,,,,,,15749.0,,12090.0,,,,,,,,,,,,,,,,,,,,,,,,,
32084,first coast technical college,saint augustine,FL,23.0,,,,0.469696969697,9538.0,,,,30654.0,25800.0,,,,,,,,,,,,,,,,,,,,,,,
60014,first institute of travel inc,crystal lake,IL,21.0,,,,0.789115646259,,20410.0,,9500.0,32145.0,26200.0,,,,,,,,,,,,,,,,,,,,,,,
2116,fisher college,boston,MA,11.0,7612.0,,0.7075,0.353305785124,,25702.0,52723.0,25000.0,45266.0,36300.0,,,,,,,,,,,,,,,,,,,,,,,
37208,fisk university,nashville,TN,11.0,5850.0,1236.0,0.5791,0.323943661972,,26135.0,37653.0,27000.0,32162.0,34900.0,,,,,,,,,,,,,,,,,,,,,,,
,fitchburg state college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,19.4,24.1,25.9,31.5,24.1,35.2,24.47
1420,fitchburg state university,fitchburg,MA,22.0,10025.0,1114.0,0.8994,0.515515515516,15432.0,,24517.0,24239.0,53950.0,43200.0,,,,,,,,,,,,,,,,,,,,,,,
95062,five branches university,santa cruz,CA,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11746,five towns college,dix hills,NY,21.0,6087.0,,0.7203,0.466321243523,,20799.0,40792.0,21500.0,34228.0,33400.0,,,,,,,,,,,,,,,,,,,,,,,
59901,flaad valley community college,kalispell,MT,33.0,6164.0,,,0.39211136891,8723.0,,14949.0,10500.0,35738.0,32200.0,,,,,,,,,,,,,,,,,,,,,,,
32084,flagler college,saint augustine,FL,23.0,7446.0,1099.0,0.7809,0.610486891386,,29951.0,41734.0,24250.0,46071.0,39100.0,,,,,,,,,,,,,,,,47.0,54.5,54.5,69.7,69.7,60.6,93.1,64.16
32164,flagler technical college,palm coast,FL,21.0,,,,,,,,,23207.0,,,,,,,,,,,,,,,,,,,,,,,,
70395,fletcher technical community college,schriever,LA,41.0,5902.0,,,0.192041522491,10689.0,,16674.0,10064.0,30468.0,30500.0,,,,,,,,,,,,,,,,,,,,,,,
66801,flint hills technical college,emporia,KS,33.0,5216.0,,,0.536585365854,15533.0,,21137.0,6625.0,44134.0,36800.0,,,,,,,,,,,,,,,,,,,,,,,
29501,florence darlington technical college,florence,SC,41.0,6302.0,,,0.098186366479,598.0,,10497.0,12250.0,28766.0,27700.0,,,,,,,,,,,,,,,,,,,,,,,
,florida a&m university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,64.3,40.5,50.0,51.3,27.4,50.0,47.47
33966,florida academy,fort myers,FL,13.0,,,,0.831168831169,,13236.0,,6333.0,24258.0,,,,,,,,,,,,,,,,,,,,,,,,
33311,florida academy of health&beauty,oakland park,FL,21.0,,,,,,9457.0,,3333.0,17346.0,,,,,,,,,,,,,,,,,,,,,,,,
33025,florida academy of nursing,miramar,FL,21.0,3025.0,,,,,15028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
