rank,name,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
11,Northwestern University,IL,A,141300.0,26862,Urban,large,"Along the coast of Lake Michigan sits Northwestern University, a leading research university in Illinois. With its main campus housed in Evanston, Northwestern serves students from additional campuses in downtown Chicago and abroad in Doha, Qatar. Northwestern offers a wide range of courses from its undergraduate, graduate, and professional programs. Northwestern’s interdisciplinary approach to education is demonstrated through each of the 12 colleges and schools. The most popular majors are engineering, social sciences, and journalism. The university has achieved both national and international recognition through its world-renowned Medill School of Journalism, which is ranked among the top journalism programs in the nation. Arts and Humanities are equally esteemed with its Bienen School of Music alumni and faculty winning 12 Grammy awards since 2015. Northwestern saw over $923 million in annual sponsored research awards and $16 billion in total endowments. Home of the Wildcats, Northwestern is a member of the Big Ten athletic conference, and students show school pride by adorning the official Northwestern purple and white colors. Notable alumni include novelist George R.R. Martin, actress Julia Louis-Dreyfus, and Illinois Governor J.B. Pritzker.",northwestern-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,64307876.0,58.0,50.0
12,Johns Hopkins University,MD,A,142300.0,40251,Urban,large,"Johns Hopkins University is located in Baltimore, Maryland, a town that has been nicknamed Charm City due to its small-town feel. On campus, students have access to rare books, manuscripts and archives. Off campus, using the school’s free shuttle service, students can explore the museums and landmarks of the city. The biennial event, Hopkins on the Hill, calls upon hundreds of delegates, legislators, congressional staffers and representatives from government agencies to view the federally funded research and programming at Johns Hopkins University. America’s first research university encourages its scholars to ask big questions. Today, these questions have led to significant medical advances as well as technology designed to explore outer space. With nearly 3,700 active patents, Johns Hopkins research is responsible for potable water in the 1920’s to 21st-century prosthetic limbs. Noteworthy alumni include former CEO of IBM, Sam Palmisano, Chief White House correspondent for NBC News Hallie Jackson, and former New York City mayor Michael R. Bloomberg. ",johns-hopkins-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,47549790.0,67.0,62.0
13,"University of California, Los Angeles",CA,,144400.0,48638,Urban,large,"The University of California, Los Angeles is only minutes away from Hollywood and downtown L.A. With over 125 majors and over 90 minors delivered to students, the most popular disciplines are social sciences, biological and biomedical sciences, and psychology. UCLA also ranks among the top research schools, bringing in over $1B a year in external research grants. This year, UCLA admissions reported over 169,800 applications for Fall 2023, a near-historic high for the university. UCLA's athletics department remains equally impressive, being the only university with a number one overall pick in almost every major league draft. UCLA’s Bruins have won 121 NCAA team championships, 270 Olympic medals and produced over 120 professional athletes including sports legend Jackie Robinson. Students can choose from over 1,000 clubs and student organizations, and participate in the many True Bruin traditions that include volunteering, attending games, and becoming “Bruintized” by making a splash in the school’s inverted fountain during orientation.",university-of-california-los-angeles,Public,Doctoral Universities: Very High Research Activity,18,65557935.0,57.0,46.0
14,University of Chicago,IL,A,150600.0,20814,Urban,large,"The private school University of Chicago is located in the neighborhood of Hyde Park. Students partner with their neighbors and work with organizations in Hyde Park to help small businesses and nonprofits. The area of impact for economic opportunity and entrepreneurship creates job opportunities for local residents while helping local entrepreneurs address challenges and develop new strategies for growth. The institution provides a loan-free education to students from lower-income families or who are the first in their families to attend college through the Odyssey Scholarship Program. The school’s commitment to targeted research has led to the discovery of REM sleep and the world's first laboratory devoted to sleep research as well as advancements in understanding quantum mechanics. In 125-years of history, the institution has produced more than 90 Nobel Prize winners who contributed to groundbreaking discoveries and research. Noteworthy alumni include American writer Susan Sontag, Senator Bernie Sanders, and Grammy-winning American jazz singer Kurt Elling.",university-of-chicago,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,51811912.0,56.0,52.0
15,Vanderbilt University,TN,A-,148000.0,14770,Urban,large,"Vanderbilt University, located in downtown Nashville, is a private research university that celebrates 150 years of achievements. Since its founding, Vanderbilt has issued 983 US patents, produced six Nobel Laureates, and won six national championships. The university offers programs across its ten schools and colleges, where students have greater access to faculty due to its 7:1 student-to-faculty ratio. A strong proponent of groundbreaking discovery, Vanderbilt values interdisciplinary research to further its innovation efforts. Of the 13,710 enrolled students, 65 percent of undergraduate students received financial aid for the 2022-2023 academic year. Students benefit from an immersive educational experience by staying in residential colleges, an on-campus housing system that unites academics with campus life. Everything from cheering on the Vanderbilt Commodores to dropping the Vanderbilt Anchor ties into its deep-rooted culture. Notable alumni include Texas Governor Greg Abbott and author James Patterson.",vanderbilt-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,56574190.0,69.0,65.0
16,Dartmouth College,NH,A,173300.0,7246,Rural,medium,"The prestigious Dartmouth College is an Ivy League research institution located in the Upper Valley of Hanover, New Hampshire. The university provides courses from over 40 academic departments and interdisciplinary programs, with the majority of classes having 20 or fewer students in a 7:1 student-to-faculty ratio. Dartmouth achieved a major milestone when it elected its first female president Sian Leah Beilock, who officially assumed the role in June 2023. The university is committed to teaching and research, with an endowment valued at $8.1 Billion in fiscal year 2022. Dartmouth encourages student involvement through clubs, activities, and societies. Athletic culture also thrives amongst students, with 75 percent of undergraduate students involved in sports. Whenever they aren’t cheering on the Big Green, students often take part in campus practices like its First-Year Trips, Dartmouth Night and Homecoming, and Dartmouth Powwow which celebrates Native cultures and history. Notable alumni from Dartmouth include television producer Shonda Rhimes, writer Theodor Geisel (Dr. Seuss), and television host Fred Rogers of Mr. Rogers’ Neighborhood.",dartmouth-college,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,34261224.0,58.0,45.0
17,Williams College,MA,A+,169200.0,2277,Rural,small,"Williams College is a private liberal arts school located in northwestern Massachusetts. Williams's academic program comprises 36 majors spread across three main divisions: languages & the arts, social sciences, and science & mathematics. The college's standout “all-grant” financial aid issues financial aid to over half of all Williams students. Of the class of 2026, 45% were identified as U.S. students of color, and as of Fall 2022, undergraduate U.S. minority enrollment stood at 39%. Thanks to Williams’s 7-to-1 student-to-faculty ratio, students receive special attention. Most of the students are involved in at least one of the 125 student organizations on campus. Williams College demonstrates a thriving athletic community, with about one-third of students participating in intercollegiate sports. Notable alumni include President James Garfield, film director Elia Kazan, and former New York Yankees owner George Steinbrenner.",williams-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,6,14622870.0,55.0,45.0
18,Brown University,RI,A,155000.0,11151,Urban,large,"Brown University is a private Ivy League research university in Providence, Rhode Island. At Brown, students engage in debates and conversations with an element of passion and respect. Outside the classroom, there are more than 500 clubs and student organizations such as Brown Space Engineering, the Sustainable Food Initiative, the Darkroom Photography Club, the Ivy Film Festival, fraternities and sororities, and many more. The University’s open curriculum is fueled by curiosity and fosters a community of collaborative research, innovative startups, artistic performance and social actions. There are more than 900 student-athletes that compete across 38 varsity sports teams. Brown traditions include the “shopping period” at the start of every semester where students have the ability to explore subjects and courses that are in line with their interests. Brown campus legend has it that if you pass through the Van Wickle Gates’ main door more than twice, you will be cursed. This middle gate only opens three times a year: convocation, mid year convocation, and graduation. Campus Dance is a decades-old Brown tradition and occurs annually on graduation weekend for the biggest outdoor party of the year. Notable alumni include actress Emma Watson, United States Secretary of Treasury Janet Yellen, actor John Krasinski, attorney John F. Kennedy Jr., and businessman John Sculley. ",brown-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,43337341.0,55.0,46.0
19,Claremont McKenna College,CA,A+,167000.0,1433,Suburban,small,"Claremont McKenna College in Claremont, Calif. is considered one of the top liberal arts schools in the United States. Situated less than an hour from Los Angeles, Claremont McKenna offers 33 majors with accelerated, joint, or dual degree programs across its 13 academic departments. Top majors from the class of 2022 include economics, government, and international relations, with nearly half of the students receiving financial aid. While Claremont McKenna has one of the lowest acceptance rates for liberal arts schools, outcomes reveal that upon graduation, most students enter the workforce full-time within six months. Students benefit from small class sizes, due to the university’s 8:1 student-to-faculty ratio and average class sizes containing fewer than 20 students. Community and engagement can be fostered through one of the 50+ clubs and organizations the campus has to offer. Perhaps the most recognizable of the university’s alumni was the beloved actor and comedian, Robin Williams.",claremont-mckenna-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,8803524.0,53.0,49.0
20,Duke University,NC,A+,158700.0,18357,Urban,large,"Duke University holds both academic and athletic merit for students enrolled at its campus in Durham, NC. Top majors at the university include computer science, economics, and public policy from Duke’s 10 schools & colleges. Graduate students vastly outnumber undergraduate students, accounting for more than half of the total student population in 2022. Beginning in Fall 2023, Duke announced that it would expand its financial assistance efforts by providing undergraduate students from North and South Carolina with full tuition coverage for families making less than $150,000. Just over half of Duke undergraduates pay less than the full cost of attendance and provide more than $130 million in grant aid every year. Equally noteworthy is the Duke’s Blue Devils athletics which represents top talent from Division I levels, including the NCAA and Atlantic Coast Conference. Tradition has it that students camp outside of Cameron Indoor Stadium to secure seats to men's basketball games in tents on an encampment known as “K-ville.” Notable Duke alumni include former U.S. President Richard Nixon, Apple CEO Tim Cook, and billionaire philanthropist Melinda French Gates.",duke-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,42566173.0,57.0,42.0
21,"University of California, San Diego",CA,,151500.0,44132,Urban,large,"University of California San Diego is a public land-grant research university in La Jolla, California. With a total campus enrollment of 42,800, the campus rests on 1,200 acres of coastal woodland and overlooks the Pacific ocean. The Department of Economics and the Rady School of Management recently launched the Business and Economics Mentoring Program. This initiative’s goal is to expand the diversity of students in the Business Economics major to address the lack of diversity in business education and leadership. The average base salary of UC San Diego Graduates are $84,000, hitting an average of $143,600 as a mid-career salary. Through experiential learning, students are placed in real-world experiences in laboratories, research facilities and public service programs. Ongoing programs include the Community Health Project focusing on immigrant, impoverished women, and geriatric health and JusticeCorps that helps to provide legal information to self-represented community members. Undergraduates practice in the field what they learn in the classroom yielding to higher retention, faster graduation rates and job prospects. Notable alumni include founder of GoPro Nick Woodman, activist Angela Davis, and DJ Patil, former White House chief data scientist. ",university-of-california-san-diego,Public,Doctoral Universities: Very High Research Activity,19,86098090.0,61.0,55.0
22,California Institute of Technology,CA,B+,168600.0,2501,Urban,small,"The California Institute of Technology is a private research university in Pasadena, California, right at the foot of the San Gabriel Mountains. Caltech’s campus spans 124 acres and is located just 10 miles northeast of downtown Los Angeles and 30 miles from the ocean. With esteemed science and engineering programs, CalTech is involved with NASA to manage sending probes to explore the planets of our solar system. The school enrolls under 1,000 undergraduate students and boasts a 3:1 student-faculty ratio. Caltech’s Office of Technology Transfer and Corporate Partnerships helps student entrepreneurs through programs, internships and funding to turn their business proposals into reality. Notable alumni include American astronomer Amy Mainzer, computer scientist Fei-Fei-Li, theoretical physicist Kip Thorne and businessman Gordon Moore. ",caltech,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,9174767.0,71.0,57.0
23,Wellesley College,MA,A+,134100.0,2548,Suburban,small,"Wellesley College is a private, nonprofit liberal arts college for women, located in the town Wellesley in Norfolk County, Massachusetts. The University offers shuttles as a way for students to get to Boston aside from public transportation or zip cars. From the Keohane Sports Center to the Wellesley Centers for Women, and from Whitin Observatory to Lake Waban, Wellesley’s campus is spread across 500 acres. Traditions on campus include Hooprolling, which is a competitive race for students to unwind at the end of the school year. Each incoming class has their own assigned color, and step singing is when each class dresses in their respective colors to try and out-sing and out-cheer each other. Flower Sunday is said to be one of the oldest traditions at Wellesley. Each fall, new students are matched with a Wellesley big sister and at Flower Sunday, the first Sunday of the school year, big sisters bring bouquets of flowers to their “littles” for a warm welcome. Notable alumni include former United States Secretary of State Hillary Clinton, journalist and filmmaker Nora Ephron, and actress Ali MacGraw. ",wellesley-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,21771363.0,65.0,59.0
24,Amherst College,MA,A+,139700.0,2041,Suburban,small,"Amherst College is a private liberal arts college in Amherst, Massachusetts. With small classes, an open curriculum, and a sole focus on undergraduate education, the average class size is about 19 students and the full-time instructional faculty is just over 200. On campus, The Powerhouse is a renovated steam plant that now hosts live performances, movie screenings, art exhibits, panel discussions, pub nights, outdoor picnics and more. The Amherst College Wildlife Sanctuary rests on about 500 acres of land and is the site of ongoing research and teaching by students and faculty. The land is managed by the Amherst Facilities Department to support conservation of animals. The Amherst mascot is a mammoth and their colors are purple and white. The distinguished science program at Amherst offers The Incubator Program, a cohort designed to support and train students who are underrepresented in STEM disciplines, and The Moss Quantitative Center where students learn to analyze data. A commencement tradition is to give each graduate a chestnut cane known as The Conway Canes. This Amherst tradition is a metaphor for a college education, because it supports graduates throughout their lives. Noteworthy alumni include the 30th president of the United States Calvin Coolidge, economist Joseph Stiglitz, and author David Foster Wallace. ",amherst-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,17490565.0,66.0,58.0
25,Bowdoin College,ME,A+,152900.0,1989,Rural,small,"The town of Brunswick, Maine is home to Bowdoin College, a small, private liberal arts school. With a population of roughly two-thousand students, Bowdoin presents the comforts of a tight-knit community and a comprehensive liberal arts education from over 40 majors across more than 30 departments. Students who earn a bachelor of arts degree from Bowdoin often go on to be employed by the likes of Google, Goldman Sachs, and the United States Government. In July 2023, Bowdoin officially welcomed its 16th president, Safa Zaki—the first woman to ever hold the position. The university prides itself on generous financial aid offerings, being only one of seven colleges in the U.S. that are need-blind for each applicant. Half of all students receive financial aid, and Bowdoin forgoes including any loans in its aid packages. As an added bonus, each student who graduates is gifted a MacBook Pro, an iPad mini, and an Apple Pencil. Outside of digital perks, students can immerse themselves in campus life by participating in the university’s Lobster Bake to welcome new and returning students, meeting Bowdoin's Polar Bear mascot, or expanding friendship circles by enjoying ""Dinner with Six Strangers.” Notable alumni include novelist Nathaniel Hawthorne and Netflix cofounder, chairman, and CEO Reed Hastings.",bowdoin-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,14293523.0,55.0,52.0
26,University of Florida,FL,,123700.0,62839,Urban,large,"This public land-grant research university is located in Gainesville, Florida and is part of the State University System of Florida. In 1911, Florida’s sports teams adopted the gator mascot and declared its official colors to be orange and blue. With over 50,000 students, there are opportunities to join or form a community with over 900 student organizations to choose from. Each semester, the Involvement Team hosts Student Organization Fairs on the sidewalks of the North Lawn where students can engage with new opportunities. Gatornights welcomes all students every week during the Fall, Spring, and Summer for live music, comedians, improv shows, interactive games, DJ’s, food and more. The University’s AI initiative uses research to prepare AI-capable students in every discipline for the workforce to build future economic growth. This mission is guided through ethics, is technology driven, and paves way for a high-wage economy in Florida. Noteworthy alumni include American football player Tim Tebow, Olympic medalist Ryan Lochte, two-time Olympic gold medalist Abby Wambach, and NASA Administrator and American politician Bill Nelson. ",university-of-florida,Public,Doctoral Universities: Very High Research Activity,16,65349059.0,94.0,92.0
27,Swarthmore College,PA,A+,154900.0,1716,Suburban,small,"This private liberal arts college is located in Swarthmore, Pennsylvania has a 425 acre campus with rolling lawns, a creek, wooded hills and hiking trails and is located just 11 miles from Philadelphia. The liberal arts curriculum connects the arts, humanities, natural sciences and engineering, social sciences and interdisciplinary programs. Swarthmore College is rich in traditions. Last Collection takes place at the Scott Outdoor Amphitheater, where all first-year students gather for a ceremonial event with guest speakers and a candle-lighting to mark the start of the school year. Crum Regatta calls students to Crum Creek for a 500-meter race through shallow water with paddles and boats that are designed and built by students. And in late January, the themed winter formal brings students together for live music and a dance party. Alumni include former governor of Massachusetts Michael Dukakis, American economist Edward Prescott, United States Senator Chris Van Hollen, and current president of Brown University Chrstina Paxson.",swarthmore-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,13643129.0,68.0,63.0
28,University of Southern California,CA,B-,150100.0,53765,Urban,large,"USC’s two primary campuses are both located in the heart of Los Angeles, neighboring cultural institutions, sports and entertainment venues. With over 150 majors and minors, and an average class size of 26 students, Trojans will have the opportunity for mentorship at this private-research institution from USC’s scholars such as Garrett Reisman, Senior Advisor at SpaceX, who teaches Astronautical Engineering. USC Marshall School of Business offers resources such as a scholar program to connect undergraduate students with business professionals and provide support for social impact-oriented careers. Through mentorship and access, the curriculum strives to promote diversity across industries while giving students early opportunities for career exploration. On the weekends, students can head to the Los Angeles Memorial Coliseum located in Exposition Park, across from campus, to watch the football team and shout “Fight on.” To unwind, students can take advantage of the outdoor spaces that the campus has to offer such as the Exposition Park Rose Garden and Queens Courtyard. There are more than 450,000 living USC alumni all over the world. Among them are Academy-Award winning actor Forest Whitaker, the founder and CEO of Skydance Media, David Ellison, as well as American astronaut Neil Armstrong.",university-of-southern-california,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,117998055.0,76.0,71.0
29,"University of Michigan, Ann Arbor",MI,,137500.0,52356,Urban,large,"The University of Michigan-Ann Arbor is a public research institute located in Ann Arbor, Michigan. The curriculum encourages students to make the most of all that the school's programs have to offer. A course called Making the Most of Michigan is facilitated by upper-level students to help underclassmen navigate a new environment, connect with other first-year students, and build skills for career and leadership opportunities. University wide values include student centeredness by offering administration and services to help students individually and collectively and collaboration by utilizing teamwork and resources, partnerships and cooperation. With a rich athletics tradition, Michigan teams have claimed more than 50 national championships in 12 sports over the years with students waving the school’s maize and blue flags up in the air to cheer on the wolverines. Noteworthy alumni include co-founder of JetBlue Airways David Barger, professional basketball player Jordan Poole, Emmy and Golden Globe winning actor Darren Criss, and Sasha Obama. ",university-of-michigan,Public,Doctoral Universities: Very High Research Activity,12,72944751.0,74.0,67.0
30,Washington University in St. Louis,MO,A+,142800.0,18783,Suburban,large,"Washington University in St. Louis, Missouri is dedicated to research, patient care, service to society, and sustainability through discovery and impact. There are about 26 Nobel Laureates affiliated with this institution whose motto is Per Veritatem Vis (Strength Through Truth). Back in 1904, the first American Olympics were hosted at WashU’s Francis Field and Gymnasium. Today, students compete for gold during the annual spring Residential College Olympics. This competition is between 10 residential colleges and the North Side in events such as basketball, dodgeball, tug-of-war, hockey and more. Other campus traditions include All Student Theatre, a play performed by students from different majors on Beaumont Pavilion every Spring, and painting the campus underpass, the walkway between the South 40 residential area and Danforth campus, to advertise news and upcoming events. Campus legend says don’t step on the seal at Brookings Hall or you won’t graduate on time. Noteworthy alumni include American columnist Marilyn vos Savant, businessman and record-setting aviator Steve Fossett, engineer and former NASA astronaut Robert Behnken. ",washington-university-in-saint-louis,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,48878187.0,50.0,43.0
31,"University of North Carolina, Chapel Hill",NC,,118200.0,34015,Urban,large,"As the nation’s first public university, UNC-Chapel Hill is located in Chapel Hill, North Carolina. The university opened its doors to students over two centuries ago and the landmarks remain. The Davie Poplar is a large tulip poplar tree located in McCorkle Place is named after the school’s founder William Richardson Davie. Legend has it that if the Davie Poplar falls, the University will fall with it. The Morehead-Patterson Bell Tower’s chime can be heard from anywhere on campus. The 90-year-old tradition of the master bell ringers are Carolina students who ring the bells on football game days and special occasions. The Tar Heels have school spirit and claim that they bleed Carolina blue. In 2016, the N.C. The General Assembly established the North Carolina Collaboratory to allow for research across the state to solve the state’s pressing challenges through stepping out of classroom walls. The Collaboratory conducts legislatively mandated research and addresses environmental, economic and public health issues. Noteworthy alumni include basketball hall of famer Michael Jordan, former U.S. senator John Edwards, two-time Olympic gold medalist Mia Hamm, and American actor Billy Crudup.",university-of-north-carolina-at-chapel-hill,Public,Doctoral Universities: Very High Research Activity,17,33475692.0,59.0,40.0
