Zip Code_1,school,City_1,State_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,Prestige_3,Satisfaction_3,Resources & Facilities_3,Safety_3,Teacher Support_3,School Administration_3,Campus Setting_3,Average Score_3,Average Net Price_1
91702,azusa pacific university,azusa,CA,21.0,10096.0,1155.0,0.7948,0.524090909091,54735.0,23219.0,60930.0,52500.0,276,CA,D,105700.0,9415,Suburban,medium,"One of the largest Christian universities on the West Coast, Azusa Pacific University is a private institution located in Azusa, CA, 26 miles northeast of Los Angeles, that implements faith into curriculum. APU offers 57 majors for students to choose from. A large portion of the student body pursues nursing, while business and psychology are also popular programs. Students at Azusa Pacific University are required to complete community service as one of the university’s four cornerstones. Students can complete this by spending a service year abroad, completing a university-sponsored service program in Mexico, or participating in local community groups. All students are required to attend chapel three times each week. During the more than 200 chapel services every year, the university invites speakers such as faculty, local pastors, and recording artists.",azusa-pacific-university,Private not-for-profit,Doctoral Universities: High Research Activity,10,16896643.0,99.0,99.0,35.7,60.7,42.9,66.7,50.0,31.0,47.6,47.8,19798.0
2457,babson college,wellesley,MA,21.0,19491.0,1435.0,0.1974,0.890510948905,77248.0,20000.0,102507.0,95800.0,96,MA,B+,175200.0,4256,Suburban,medium,"Babson College is a private business school in Wellesley, Massachusetts and was established in 1919 with a central focus of entrepreneurship education. Babson’s undergraduate program gives students a hands-on business school experience mixed with the liberal arts and sciences. The Foundations of Management and Entrepreneurship is a required course at Babson where first-year undergraduate students learn to build and run their own business. Students then showcase their creations and business-plan at the annual FME Expo at the Len Green Recreation and Athletics Complex. Babson hosts many professional events on campus to provide students with networking opportunities and professors act as mentors. Advanced Experiential is a required course for third or fourth year students that include applied projects at companies and nonprofits. The Babson Leadership Academy guides students to improve leadership competence, the Student Government Association is the voice of the student body where students can play an active role in organizing and implementing campus-wide programming. At Babson, 24 undergraduate concentrations and 7 graduate concentrations provide an opportunity for students to pursue interests that align with long-term goals. Notable alumni include President of Toyota Akio Toyoda, co-founder of The Home Depot Arthur Blank, Princess Marie of Denmark, Swiss businessman Ernesto Berterelli, businessman Gustavo Cisneros, and the great-grandson of Henry Ford I Edsel Ford II.",babson-college,Private not-for-profit,Special Focus Four-Year: Business & Management Schools,16,13425562.0,70.0,68.0,66.7,75.0,66.7,81.9,72.2,62.5,76.4,71.63,38876.0
12504,bard college,annandale-on-hudson,NY,41.0,12376.0,1387.0,0.5229,0.626666666667,81661.0,24254.0,37534.0,39000.0,329,NY,A-,107100.0,3049,Rural,medium,"Situated on 1,000 acres overlooking the Hudson River and the Catskill Mountains, Bard College in Annandale-on-Hudson, NY, stresses the importance of multidisciplinary studies and rigorous liberal arts education. The college has 35 standalone majors across four divisions, as well as the option for interdivisional programs and concentrations. Students who study fine arts or social sciences make up more than half of the student body. There are more than 150 student clubs on campus, including a variety of performing arts groups, political organizations and service opportunities. About 73% of undergraduate students receive financial aid from the college, covering on average 63% of the cost of attendance. The college offers many scholarships, such as the “New Generation” Scholarship for those whose parents were born outside of the U.S.",bard-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,20415600.0,85.0,81.0,79.4,84.8,82.8,87.1,88.3,80.9,82.8,83.73,31771.0
76798,baylor university,waco,TX,12.0,11631.0,1313.0,0.5099,0.755983106523,70130.0,23000.0,61504.0,51200.0,152,TX,A-,123300.0,23218,Urban,large,"The world’s largest Baptist university, Baylor University in Waco, Texas applies faith-based principles to scholarly and artistic pursuits. Baylor’s history dates back to 1845, making it the oldest continually operating university in the state. Of the more than 125 majors and minors offered, nursing is one of the largest programs at Baylor, while biology, accounting, and communications are also popular. The Carnegie Classification recognized Baylor as an R1 university, putting them at the forefront of research and discovery in higher education. Baylor’s endowment value reached $2 billion in fiscal year 2022—an all-time high for the university. $72 million went to scholarships, professorships and more. More than 90% of Baylor undergraduates receive financial aid through endowed scholarships, loans, or private grants. Baylor hosts more than 375 student organizations. The Baylor Bears have 19 sports teams, with more than 500 student-athletes. Baylor is one of the only private institutions in the NCAA Division I Big 12 Conference. The university has forged several gameday traditions, including “sailgating” along the Brazos River or playing against Baylor’s oldest Texas rival, Texas Christian University.",baylor-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,92039661.0,97.0,96.0,71.3,70.8,71.3,71.3,73.1,56.5,80.6,70.7,41942.0
53511,beloit college,beloit,WI,13.0,7473.0,1318.0,0.5736,0.643356643357,68653.0,25738.0,45147.0,36900.0,458,WI,B-,105000.0,1160,Urban,small,"Beloit College is a private liberal arts college in Beloit, WI, that pushes students to think out-of-the-box. The 47-acre campus is home to an art museum, an anthropology museum, and a recreation center built in an old power plant. The college offers 43 majors, with the most popular programs in anthropology, sociology and psychology. Students can study abroad in more than 50 countries, including specialized programs like “Landscapes in Transition,” which allows students to explore water and land use in China and Japan. Beloit offers around 60 clubs for students to join. About 30% of students participate in Beloit’s 19 varsity sports teams. About 98% of students receive some form of financial aid, and 25% of students receive the Pell grant. Beloit offers several merit scholarships for domestic and international students, up to $36,000 a year.",beloit-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,13550134.0,100.0,100.0,45.2,75.0,54.8,78.6,83.3,50.0,66.7,64.8,21924.0
2452,bentley university,waltham,MA,13.0,15685.0,1340.0,0.4844,0.865,77082.0,25023.0,102857.0,79200.0,186,MA,C+,144800.0,5458,Urban,medium,"Bentley University in Waltham, Mass. is a private institution just miles from Boston. The university incorporates arts and sciences into a business education, supplied to more than 4,000 undergraduate students. The university offers nearly 30 undergraduate majors and 34 minors across 17 academic departments. With an average class size of 26 students, Bentley students can benefit from specialized learning. Most students complete an internship during their time at Bentley, which pays off, as the university’s career services report a 99% job placement rate for students. Outside of the classroom, Bentley’s student life draws meaningful connections with fellow students. The university is home to more than 100 student organizations, along with 11 fraternities and sororities. Bentley facilitates hundreds of campus events, where there is no shortage of activities to stay involved. The Falcons are members of the NCAA-affiliated Northeast-10 Conference. From awards banquets to the annual Spring Day concert, many highly anticipated campus events leave lasting impressions on students. Former president of Liberia Charles Taylor attended the university, as did veteran television host Jay Leno and Frederick Payne, former governor of Maine.",bentley-university,Private not-for-profit,Master's Colleges & Universities: Larger Programs,12,25477734.0,84.0,81.0,71.4,67.9,61.9,69.0,73.8,61.9,78.6,69.21,38787.0
40404,berea college,berea,KY,32.0,8894.0,1248.0,0.3271,0.590697674419,56068.0,3591.0,39459.0,32100.0,456,KY,A,81600.0,1531,Rural,small,"Berea College, located in Berea, KY, guarantees that no student at the college has to pay tuition through awarding a Tuition Promise Scholarship valued at almost $200,000 over four years. Students at Berea are expected to participate in the work program at the college, where they work at least 10 hours per week throughout each regular term. Out of 44 undergraduate fields of study, including the popular biology, computer science and industrial production technologies, there is an option to create a custom major. About 93% of the class of 2019 graduates had studied abroad, fulfilled a paid internship, completed a service-learning course or participated in faculty-led research by the time they graduated. Berea College has a number of performing arts clubs, including music and theatre groups. There are also several campus publications and many multicultural organizations.",berea-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,18690723.0,100.0,100.0,80.6,70.8,62.5,76.4,83.3,56.9,68.1,71.23,4483.0
90639,biola university,la mirada,CA,21.0,8314.0,1258.0,0.6008,0.625284738041,58430.0,23875.0,54476.0,43000.0,335,CA,C,116800.0,6090,Suburban,medium,"Located about 18 miles away from Los Angeles in La Mirada, CA, Biola University offers a Christian education focused on spiritual growth and professional development. There are 64 majors for students to choose from across Biola’s nine undergraduate schools and colleges. Every student is required to take foundational courses in theology and the Bible. The university has merit scholarships ranging up to $20,000 a year for freshmen and transfer students. About 90% of undergraduates receive financial aid, which covers 52% of demonstrated need on average. Biola is home to many student traditions, such as “Mock Rock,” where groups of students lip-sync songs in front of screaming fans, and floor events where roommates find each other a date. In 2017, 70% of students completed at least one internship before graduating, and 90% of students reported finding employment or enrolling in graduate school within six months after graduation.",biola-university,Private not-for-profit,Doctoral/Professional Universities,13,16814027.0,100.0,100.0,42.6,63.9,59.3,74.1,77.8,61.1,59.3,62.59,28101.0
90639,biola university,la mirada,CA,21.0,8314.0,1258.0,0.6008,0.625284738041,58430.0,23875.0,54476.0,43000.0,335,CA,C,116800.0,6090,Suburban,medium,"Located about 18 miles away from Los Angeles in La Mirada, CA, Biola University offers a Christian education focused on spiritual growth and professional development. There are 64 majors for students to choose from across Biola’s nine undergraduate schools and colleges. Every student is required to take foundational courses in theology and the Bible. The university has merit scholarships ranging up to $20,000 a year for freshmen and transfer students. About 90% of undergraduates receive financial aid, which covers 52% of demonstrated need on average. Biola is home to many student traditions, such as “Mock Rock,” where groups of students lip-sync songs in front of screaming fans, and floor events where roommates find each other a date. In 2017, 70% of students completed at least one internship before graduating, and 90% of students reported finding employment or enrolling in graduate school within six months after graduation.",biola-university,Private not-for-profit,Doctoral/Professional Universities,13,16814027.0,100.0,100.0,42.6,63.9,59.3,74.1,77.8,61.1,59.3,62.59,28101.0
2467,boston college,chestnut hill,MA,13.0,17441.0,1501.0,0.1565,0.884201077199,83683.0,19000.0,89620.0,82200.0,59,MA,B+,142200.0,16849,Urban,large,"Boston College is a private Jesuit research university in Chestnut Hill, Massachusetts. There are more than 273 student-run groups for BC students to join and about 3,600 student interviews conducted on campus each year through the Career Center. The Campus Activities Board is a student-led group that coordinates campus-wide programs, fosters school spirit, and organizes events such as concerts, the homecoming dance, trivia nights, pub series, and off-campus trips to Boston. Senior week, takes place just before Commencement and consists of a Dance Through the Decades, an Alumni Toast, and a Commencement Ball. Alumni include actress Amy Poehler, actor Chris O’Donnell, United States senator Edward Markey and football quarterback Matt Ryan. ",boston-college,Private not-for-profit,Doctoral Universities: Very High Research Activity,12,50592266.0,53.0,40.0,78.7,69.2,76.3,81.4,66.0,57.1,77.6,72.33,39866.0
2215,boston university,boston,MA,11.0,16124.0,1473.0,0.1085,0.763843648208,82694.0,23250.0,73661.0,63400.0,53,MA,B,144400.0,43952,Urban,large,"Situated along the Charles River in Massachusetts is Boston University, where its main campus spans 140 acres across more than 300 buildings in the heart of the city. The private university offers more than 300 programs of study from more than 15 schools and colleges. BU counted over 36,000 total students in 2022. A leading research institution, Boston University was awarded more than $500 million in research awards for the fiscal year 2022. The university also houses more than 130 centers & institutes for research. Students have access to smaller class sizes due to BU’s 11:1 student-to-faculty ratio and can take advantage of over 80 study abroad programs. Outside of academic life, students can immerse themselves in BU culture and join the 7,000+ club and intramural sports participants. Terrier traditions involve feasting on the school’s annual Lobster Night and putting ice hockey skills to the test against rival schools Northeastern and Harvard University. BU’s historical alumni base includes inventor Alexander Graham Bell and Dr. Martin Luther King, Jr.",boston-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,98591645.0,53.0,48.0,73.3,67.0,77.8,68.5,61.5,52.2,58.9,65.6,26996.0
4011,bowdoin college,brunswick,ME,31.0,14059.0,1514.0,0.0802,0.941860465116,80390.0,18500.0,79520.0,62700.0,25,ME,A+,152900.0,1989,Rural,small,"The town of Brunswick, Maine is home to Bowdoin College, a small, private liberal arts school. With a population of roughly two-thousand students, Bowdoin presents the comforts of a tight-knit community and a comprehensive liberal arts education from over 40 majors across more than 30 departments. Students who earn a bachelor of arts degree from Bowdoin often go on to be employed by the likes of Google, Goldman Sachs, and the United States Government. In July 2023, Bowdoin officially welcomed its 16th president, Safa Zaki—the first woman to ever hold the position. The university prides itself on generous financial aid offerings, being only one of seven colleges in the U.S. that are need-blind for each applicant. Half of all students receive financial aid, and Bowdoin forgoes including any loans in its aid packages. As an added bonus, each student who graduates is gifted a MacBook Pro, an iPad mini, and an Apple Pencil. Outside of digital perks, students can immerse themselves in campus life by participating in the university’s Lobster Bake to welcome new and returning students, meeting Bowdoin's Polar Bear mascot, or expanding friendship circles by enjoying ""Dinner with Six Strangers.” Notable alumni include novelist Nathaniel Hawthorne and Netflix cofounder, chairman, and CEO Reed Hastings.",bowdoin-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,14293523.0,55.0,52.0,46.4,66.1,79.8,85.7,78.6,81.0,79.8,73.91,20786.0
61625,bradley university,peoria,IL,12.0,9484.0,1237.0,0.7666,0.703872437358,52730.0,27000.0,65264.0,50600.0,230,IL,C,123500.0,6112,Urban,medium,"Bradley University is a private research institution in Peoria, IL., that offers the resources of a big school with the personalized attention of a smaller one. Though Bradley was originally founded as a polytechnic school, it now has eight different schools, including the Turner School of Entrepreneurship and Innovation, and its academic offerings are diverse; nearly 10% of students major in the visual and performing arts. Bradley’s campus is within three hours of Chicago, Indianapolis and St. Louis. There are more than 70,000 Bradley alumni. Bradley welcomes many of these alumni back to campus during homecoming weekend by lighting a large bright red “B” atop Bradley Hall. Accomplished Bradley alumni include Robert Lawrence, the United States’ first Black astronaut in the United States, and Rene C. Byer '80, Pulitzer Prize-winning photojournalist.",bradley-university,Private not-for-profit,Doctoral/Professional Universities,12,27733728.0,100.0,100.0,61.1,64.6,54.2,50.0,75.0,45.8,68.1,59.83,23572.0
2454,brandeis university,waltham,MA,13.0,14477.0,1473.0,0.3531,0.76,82123.0,25648.0,69857.0,57700.0,105,MA,B,153600.0,6026,Urban,medium,"Brandeis University is a private research institution with a liberal arts focus in Waltham/Boston, Massachusetts. The campus is located on 235-acres and the residence and community unite through events such as the Festival of the Arts, a campus wide event to celebrate the creativity of students, faculty and staff, and distinguished guest artists. Free pizza at midnight during finals and intramural sports such as bubble soccer, water battleship, and pickleball foster a sense of unity and excitement outside of the classroom. The Hiatt Career Center on campus is there to help all students whether you are a first-year student still weighing what majors are a good fit for you or a senior ready to complete job applications. The Rise Together Mentor Network is a virtual space where Brandeis students can practice networking skills and connect with alumni mentors. Light the Night is an annual first-year tradition to close out the first day of New Undergraduate Student Orientation; students are given blue lanterns and write down a hope or dream for their time at Brandeis. Afterwards, the freshmen share their first dinner together on the Great Lawn. Other traditions include Springfest with an annual concert held on Chapels Field the weekend before final exams. Notable alumni include businessman Jeffrey Lurie, actress Debra Messing, actor Tony Goldwyn, and philosopher and author Angela Davis. ",brandeis-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,20341071.0,68.0,64.0,78.3,73.8,80.0,85.8,80.0,52.5,63.3,73.39,33885.0
84602,brigham young university,provo,UT,12.0,13861.0,1376.0,0.6919,0.547360539124,20879.0,11069.0,66055.0,58800.0,36,UT,A+,133900.0,39321,Urban,large,"Brigham Young University in Provo, Utah is a private research university located at the foot of the Wasatch Mountains. BYU offers nearly 200 undergraduate majors and over 100 undergraduate minors, with the most popular majors being computer science, psychology, and exercise science. Tuition differs for members of The Church of Jesus Christ of Latter-day Saints versus non-members, with LDS Church members paying about half as much in tuition costs. Named after religious leader Brigham Young, the university is backed by the Church of Jesus Christ of Latter-day Saints and adheres to the principles of the faith. BYU offers a number of campus activities, including concerts and performances from the university’s arts and museums. Another big part of campus life is BYU’s athletics, where students and fans can sing the Cougar fight song at sporting events. Notable alumni include U.S. Senator Mitt Romney and Twilight author Stephenie Meyer.",brigham-young-university,Private not-for-profit,Doctoral Universities: High Research Activity,21,15248935.0,63.0,46.0,76.1,83.1,84.7,95.3,69.6,61.0,81.3,78.73,14487.0
2912,brown university,providence,RI,12.0,17335.0,1546.0,0.0523,0.909233176839,84986.0,11428.0,84208.0,76500.0,18,RI,A,155000.0,11151,Urban,large,"Brown University is a private Ivy League research university in Providence, Rhode Island. At Brown, students engage in debates and conversations with an element of passion and respect. Outside the classroom, there are more than 500 clubs and student organizations such as Brown Space Engineering, the Sustainable Food Initiative, the Darkroom Photography Club, the Ivy Film Festival, fraternities and sororities, and many more. The University’s open curriculum is fueled by curiosity and fosters a community of collaborative research, innovative startups, artistic performance and social actions. There are more than 900 student-athletes that compete across 38 varsity sports teams. Brown traditions include the “shopping period” at the start of every semester where students have the ability to explore subjects and courses that are in line with their interests. Brown campus legend has it that if you pass through the Van Wickle Gates’ main door more than twice, you will be cursed. This middle gate only opens three times a year: convocation, mid year convocation, and graduation. Campus Dance is a decades-old Brown tradition and occurs annually on graduation weekend for the biggest outdoor party of the year. Notable alumni include actress Emma Watson, United States Secretary of Treasury Janet Yellen, actor John Krasinski, attorney John F. Kennedy Jr., and businessman John Sculley. ",brown-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,43337341.0,55.0,46.0,91.0,83.1,78.8,74.8,77.9,60.8,76.6,77.57,26572.0
