,Variable 1,Variable 2,Correlation,p-value
240,Resources & Facilities,Property crime,0.564,0.00096
76,Property crime,Resources & Facilities,0.564,0.00096
245,Resources & Facilities,Crime Sum,0.573,0.00076
162,Crime Sum,Resources & Facilities,0.573,0.00076
237,Resources & Facilities,Violent crime,0.579,0.00064
14,Violent crime,Resources & Facilities,0.579,0.00064
15,Violent crime,School Administration,0.585,0.00054
271,School Administration,Violent crime,0.585,0.00054
91,Burglary,School Administration,0.589,0.00049
275,School Administration,Burglary,0.589,0.00049
357,percentOfStudentsFinAid,rank,0.593,0.00043
192,rank,percentOfStudentsFinAid,0.593,0.00043
193,rank,percentOfStudentsGrant,0.599,0.00037
371,percentOfStudentsGrant,rank,0.599,0.00037
77,Property crime,School Administration,0.607,0.0003
274,School Administration,Property crime,0.607,0.0003
163,Crime Sum,School Administration,0.609,0.00028
279,School Administration,Crime Sum,0.609,0.00028
241,Resources & Facilities,Burglary,0.615,0.00023
239,Resources & Facilities,Aggravated assault,0.615,0.00023
90,Burglary,Resources & Facilities,0.615,0.00023
58,Aggravated assault,Resources & Facilities,0.615,0.00023
59,Aggravated assault,School Administration,0.617,0.00022
273,School Administration,Aggravated assault,0.617,0.00022
276,School Administration,Larceny- theft,0.623,0.00018
111,Larceny- theft,School Administration,0.623,0.00018
244,Resources & Facilities,Arson1,0.638,0.00011
142,Arson1,Resources & Facilities,0.638,0.00011
143,Arson1,School Administration,0.644,9e-05
278,School Administration,Arson1,0.644,9e-05
261,Safety,Average Score,0.645,9e-05
298,Average Score,Safety,0.645,9e-05
246,Resources & Facilities,Crime Ratio,0.646,9e-05
178,Crime Ratio,Resources & Facilities,0.646,9e-05
209,Prestige,School Administration,0.651,7e-05
281,School Administration,Prestige,0.651,7e-05
28,Rape,Larceny- theft,0.652,7e-05
98,Larceny- theft,Rape,0.652,7e-05
228,Satisfaction,Resources & Facilities,0.659,6e-05
248,Resources & Facilities,Satisfaction,0.659,6e-05
280,School Administration,Crime Ratio,0.66,5e-05
179,Crime Ratio,School Administration,0.66,5e-05
191,rank,studentFacultyRatio,0.661,5e-05
328,studentFacultyRatio,rank,0.661,5e-05
251,Resources & Facilities,Teacher Support,0.663,5e-05
266,Teacher Support,Resources & Facilities,0.663,5e-05
269,Teacher Support,School Administration,0.684,2e-05
284,School Administration,Teacher Support,0.684,2e-05
205,Prestige,Satisfaction,0.691,2e-05
226,Satisfaction,Prestige,0.691,2e-05
247,Resources & Facilities,Prestige,0.703,1e-05
206,Prestige,Resources & Facilities,0.703,1e-05
232,Satisfaction,Average Score,0.707,1e-05
296,Average Score,Satisfaction,0.707,1e-05
321,studentPopulation,studentFacultyRatio,0.721,0.0
336,studentFacultyRatio,studentPopulation,0.721,0.0
44,Robbery,Crime Ratio,0.741,0.0
167,Crime Ratio,Robbery,0.741,0.0
270,Teacher Support,Average Score,0.764,0.0
299,Average Score,Teacher Support,0.764,0.0
42,Robbery,Arson1,0.788,0.0
130,Arson1,Robbery,0.788,0.0
40,Robbery,Larceny- theft,0.797,0.0
99,Larceny- theft,Robbery,0.797,0.0
37,Robbery,Aggravated assault,0.82,0.0
46,Aggravated assault,Robbery,0.82,0.0
172,Crime Ratio,Motor vehicle theft,0.824,0.0
104,Larceny- theft,Motor vehicle theft,0.824,0.0
121,Motor vehicle theft,Crime Ratio,0.824,0.0
117,Motor vehicle theft,Larceny- theft,0.824,0.0
300,Average Score,School Administration,0.838,0.0
286,School Administration,Average Score,0.838,0.0
50,Aggravated assault,Larceny- theft,0.859,0.0
100,Larceny- theft,Aggravated assault,0.859,0.0
295,Average Score,Prestige,0.861,0.0
34,Robbery,Violent crime,0.861,0.0
65,Property crime,Robbery,0.861,0.0
210,Prestige,Average Score,0.861,0.0
38,Robbery,Property crime,0.861,0.0
2,Violent crime,Robbery,0.861,0.0
253,Resources & Facilities,Average Score,0.864,0.0
297,Average Score,Resources & Facilities,0.864,0.0
43,Robbery,Crime Sum,0.869,0.0
151,Crime Sum,Robbery,0.869,0.0
119,Motor vehicle theft,Arson1,0.878,0.0
135,Arson1,Motor vehicle theft,0.878,0.0
79,Burglary,Robbery,0.884,0.0
39,Robbery,Burglary,0.884,0.0
54,Aggravated assault,Crime Ratio,0.889,0.0
168,Crime Ratio,Aggravated assault,0.889,0.0
114,Motor vehicle theft,Aggravated assault,0.89,0.0
51,Aggravated assault,Motor vehicle theft,0.89,0.0
134,Arson1,Larceny- theft,0.891,0.0
105,Larceny- theft,Arson1,0.891,0.0
102,Larceny- theft,Burglary,0.892,0.0
83,Burglary,Larceny- theft,0.892,0.0
165,Crime Ratio,Violent crime,0.896,0.0
10,Violent crime,Crime Ratio,0.896,0.0
6,Violent crime,Larceny- theft,0.897,0.0
97,Larceny- theft,Violent crime,0.897,0.0
115,Motor vehicle theft,Property crime,0.898,0.0
70,Property crime,Motor vehicle theft,0.898,0.0
283,School Administration,Resources & Facilities,0.902,0.0
252,Resources & Facilities,School Administration,0.902,0.0
48,Aggravated assault,Property crime,0.908,0.0
66,Property crime,Aggravated assault,0.908,0.0
112,Motor vehicle theft,Violent crime,0.909,0.0
7,Violent crime,Motor vehicle theft,0.909,0.0
156,Crime Sum,Motor vehicle theft,0.909,0.0
120,Motor vehicle theft,Crime Sum,0.909,0.0
107,Larceny- theft,Crime Ratio,0.914,0.0
171,Crime Ratio,Larceny- theft,0.914,0.0
87,Burglary,Crime Ratio,0.919,0.0
170,Crime Ratio,Burglary,0.919,0.0
138,Arson1,Crime Ratio,0.921,0.0
173,Crime Ratio,Arson1,0.921,0.0
132,Arson1,Property crime,0.928,0.0
71,Property crime,Arson1,0.928,0.0
169,Crime Ratio,Property crime,0.932,0.0
73,Property crime,Crime Ratio,0.932,0.0
174,Crime Ratio,Crime Sum,0.934,0.0
152,Crime Sum,Aggravated assault,0.934,0.0
53,Aggravated assault,Crime Sum,0.934,0.0
159,Crime Sum,Crime Ratio,0.934,0.0
63,Property crime,Violent crime,0.938,0.0
4,Violent crime,Property crime,0.938,0.0
157,Crime Sum,Arson1,0.946,0.0
137,Arson1,Crime Sum,0.946,0.0
81,Burglary,Property crime,0.949,0.0
68,Property crime,Burglary,0.949,0.0
80,Burglary,Aggravated assault,0.95,0.0
133,Arson1,Burglary,0.95,0.0
49,Aggravated assault,Burglary,0.95,0.0
85,Burglary,Arson1,0.95,0.0
116,Motor vehicle theft,Burglary,0.958,0.0
78,Burglary,Violent crime,0.958,0.0
84,Burglary,Motor vehicle theft,0.958,0.0
5,Violent crime,Burglary,0.958,0.0
149,Crime Sum,Violent crime,0.96,0.0
86,Burglary,Crime Sum,0.96,0.0
154,Crime Sum,Burglary,0.96,0.0
9,Violent crime,Crime Sum,0.96,0.0
41,Robbery,Motor vehicle theft,0.967,0.0
113,Motor vehicle theft,Robbery,0.967,0.0
128,Arson1,Violent crime,0.969,0.0
8,Violent crime,Arson1,0.969,0.0
131,Arson1,Aggravated assault,0.973,0.0
52,Aggravated assault,Arson1,0.973,0.0
378,percentOfStudentsGrant,percentOfStudentsFinAid,0.977,0.0
366,percentOfStudentsFinAid,percentOfStudentsGrant,0.977,0.0
106,Larceny- theft,Crime Sum,0.98,0.0
155,Crime Sum,Larceny- theft,0.98,0.0
69,Property crime,Larceny- theft,0.988,0.0
101,Larceny- theft,Property crime,0.988,0.0
3,Violent crime,Aggravated assault,0.993,0.0
45,Aggravated assault,Violent crime,0.993,0.0
72,Property crime,Crime Sum,0.998,0.0
153,Crime Sum,Property crime,0.998,0.0
