rank,name,zip code_forbes,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant,school_name_clean,School,zip code_myplan,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score,Zip Code,School Name,City,State,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Type
53,boston university,2215,MA,B,144400.0,43952,Urban,large,"Situated along the Charles River in Massachusetts is Boston University, where its main campus spans 140 acres across more than 300 buildings in the heart of the city. The private university offers more than 300 programs of study from more than 15 schools and colleges. BU counted over 36,000 total students in 2022. A leading research institution, Boston University was awarded more than $500 million in research awards for the fiscal year 2022. The university also houses more than 130 centers & institutes for research. Students have access to smaller class sizes due to BU’s 11:1 student-to-faculty ratio and can take advantage of over 80 study abroad programs. Outside of academic life, students can immerse themselves in BU culture and join the 7,000+ club and intramural sports participants. Terrier traditions involve feasting on the school’s annual Lobster Night and putting ice hockey skills to the test against rival schools Northeastern and Harvard University. BU’s historical alumni base includes inventor Alexander Graham Bell and Dr. Martin Luther King, Jr.",boston-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,98591645,53,48,boston university,boston university,2215,73.3,67.0,77.8,68.5,61.5,52.2,58.9,65.6,2215,boston university,boston,MA,11.0,16124.0,1473.0,0.1085,0.763843648208,,26996.0,82694.0,23250.0,73661.0,63400.0,Private
25,bowdoin college,4011,ME,A+,152900.0,1989,Rural,small,"The town of Brunswick, Maine is home to Bowdoin College, a small, private liberal arts school. With a population of roughly two-thousand students, Bowdoin presents the comforts of a tight-knit community and a comprehensive liberal arts education from over 40 majors across more than 30 departments. Students who earn a bachelor of arts degree from Bowdoin often go on to be employed by the likes of Google, Goldman Sachs, and the United States Government. In July 2023, Bowdoin officially welcomed its 16th president, Safa Zaki—the first woman to ever hold the position. The university prides itself on generous financial aid offerings, being only one of seven colleges in the U.S. that are need-blind for each applicant. Half of all students receive financial aid, and Bowdoin forgoes including any loans in its aid packages. As an added bonus, each student who graduates is gifted a MacBook Pro, an iPad mini, and an Apple Pencil. Outside of digital perks, students can immerse themselves in campus life by participating in the university’s Lobster Bake to welcome new and returning students, meeting Bowdoin's Polar Bear mascot, or expanding friendship circles by enjoying ""Dinner with Six Strangers.” Notable alumni include novelist Nathaniel Hawthorne and Netflix cofounder, chairman, and CEO Reed Hastings.",bowdoin-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,14293523,55,52,bowdoin college,bowdoin college,4011,46.4,66.1,79.8,85.7,78.6,81.0,79.8,73.91,4011,bowdoin college,brunswick,ME,31.0,14059.0,1514.0,0.0802,0.941860465116,,20786.0,80390.0,18500.0,79520.0,62700.0,Private
105,brandeis university,2453,MA,B,153600.0,6026,Urban,medium,"Brandeis University is a private research institution with a liberal arts focus in Waltham/Boston, Massachusetts. The campus is located on 235-acres and the residence and community unite through events such as the Festival of the Arts, a campus wide event to celebrate the creativity of students, faculty and staff, and distinguished guest artists. Free pizza at midnight during finals and intramural sports such as bubble soccer, water battleship, and pickleball foster a sense of unity and excitement outside of the classroom. The Hiatt Career Center on campus is there to help all students whether you are a first-year student still weighing what majors are a good fit for you or a senior ready to complete job applications. The Rise Together Mentor Network is a virtual space where Brandeis students can practice networking skills and connect with alumni mentors. Light the Night is an annual first-year tradition to close out the first day of New Undergraduate Student Orientation; students are given blue lanterns and write down a hope or dream for their time at Brandeis. Afterwards, the freshmen share their first dinner together on the Great Lawn. Other traditions include Springfest with an annual concert held on Chapels Field the weekend before final exams. Notable alumni include businessman Jeffrey Lurie, actress Debra Messing, actor Tony Goldwyn, and philosopher and author Angela Davis. ",brandeis-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,20341071,68,64,brandeis university,brandeis university,2453,78.3,73.8,80.0,85.8,80.0,52.5,63.3,73.39,2454,brandeis university,waltham,MA,13.0,14477.0,1473.0,0.3531,0.76,,33885.0,82123.0,25648.0,69857.0,57700.0,Private
36,brigham young university,84602,UT,A+,133900.0,39321,Urban,large,"Brigham Young University in Provo, Utah is a private research university located at the foot of the Wasatch Mountains. BYU offers nearly 200 undergraduate majors and over 100 undergraduate minors, with the most popular majors being computer science, psychology, and exercise science. Tuition differs for members of The Church of Jesus Christ of Latter-day Saints versus non-members, with LDS Church members paying about half as much in tuition costs. Named after religious leader Brigham Young, the university is backed by the Church of Jesus Christ of Latter-day Saints and adheres to the principles of the faith. BYU offers a number of campus activities, including concerts and performances from the university’s arts and museums. Another big part of campus life is BYU’s athletics, where students and fans can sing the Cougar fight song at sporting events. Notable alumni include U.S. Senator Mitt Romney and Twilight author Stephenie Meyer.",brigham-young-university,Private not-for-profit,Doctoral Universities: High Research Activity,21,15248935,63,46,brigham young university,brigham young university,84602,76.1,83.1,84.7,95.3,69.6,61.0,81.3,78.73,84602,brigham young university,provo,UT,12.0,13861.0,1376.0,0.6919,0.547360539124,,14487.0,20879.0,11069.0,66055.0,58800.0,Private
18,brown university,2912,RI,A,155000.0,11151,Urban,large,"Brown University is a private Ivy League research university in Providence, Rhode Island. At Brown, students engage in debates and conversations with an element of passion and respect. Outside the classroom, there are more than 500 clubs and student organizations such as Brown Space Engineering, the Sustainable Food Initiative, the Darkroom Photography Club, the Ivy Film Festival, fraternities and sororities, and many more. The University’s open curriculum is fueled by curiosity and fosters a community of collaborative research, innovative startups, artistic performance and social actions. There are more than 900 student-athletes that compete across 38 varsity sports teams. Brown traditions include the “shopping period” at the start of every semester where students have the ability to explore subjects and courses that are in line with their interests. Brown campus legend has it that if you pass through the Van Wickle Gates’ main door more than twice, you will be cursed. This middle gate only opens three times a year: convocation, mid year convocation, and graduation. Campus Dance is a decades-old Brown tradition and occurs annually on graduation weekend for the biggest outdoor party of the year. Notable alumni include actress Emma Watson, United States Secretary of Treasury Janet Yellen, actor John Krasinski, attorney John F. Kennedy Jr., and businessman John Sculley. ",brown-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,43337341,55,46,brown university,brown university,2912,91.0,83.1,78.8,74.8,77.9,60.8,76.6,77.57,2912,brown university,providence,RI,12.0,17335.0,1546.0,0.0523,0.909233176839,,26572.0,84986.0,11428.0,84208.0,76500.0,Private
180,bryn mawr college,19010,PA,A+,118000.0,1811,Suburban,small,"Bryn Mawr is a women’s college that is located in Bryn Mawr, Pennsylvania on a residential campus outside Philadelphia, with two distinctive coed graduate schools and a post-baccalaureate premedical program that offer opportunities for advanced study. Bryn Mawr expands academic reach for its students through long-standing partnerships with Haverford and Swarthmore Colleges and the University of Pennsylvania, as well as through cultural and social resources in Philadelphia. The college has traditions that are campus-wide events that happen throughout the school year. Parade Night is a celebration of the completion of the first week of classes where first year students are paired with the juniors as their sibling class to mentor first year students. Lantern Night is a fall semester event where first-year students are presented with their lanterns by sophomores to welcome and pass knowledge onto the incoming class. Notable alumni include actress Katharine Hepburn and Maggie Siff, Executive Chairman of the Santander Group Ana Patricia Botin, and former United States Representative Allyson Shwartz.",bryn-mawr-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,10875539,82,73,bryn mawr college,bryn mawr college,19010,70.5,84.6,64.1,85.9,80.8,62.8,93.8,77.5,19010,bryn mawr college,bryn mawr,PA,21.0,11943.0,1404.0,0.3106,0.75,,40690.0,79380.0,25000.0,63818.0,51300.0,Private
93,bucknell university,17837,PA,B+,155500.0,3847,Rural,medium,"Bucknell University is a private liberal arts college in Lewisburg, Pennsylvania with three colleges: Arts and Sciences, Engineering and the Freeman College of Management. The Freeman College of Management allows students to immerse themselves in real experiences and explore their futures by going inside the New York Stock Exchange and Silicon Valley’s tech firms. Freeman College students can start their own companies with Bucknell seed money and through The Student Managed Investment Fund juniors and seniors manage investments from nearly $3 million of endowment from the University. Off campus, Bucknellians can explore the historic town of Lewisburg, venture to one of eight state parks that are located less than an hour from campus, or travel 3 hours to Philadelphia. Notable alumni include, author and founding partner of the seed stage venture firm Y Combinator Jessica Livingston, American executive Les Moonves, and entrepreneur Jessica Jackley. ",bucknell-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,21644962,61,56,bucknell university,bucknell university,17837,78.3,65.0,65.0,93.3,81.7,70.0,85.0,76.9,17837,bucknell university,lewisburg,PA,32.0,12727.0,1389.0,0.3201,0.876963350785,,40429.0,79956.0,27000.0,88483.0,73700.0,Private
22,california institute of technology,91125,CA,B+,168600.0,2501,Urban,small,"The California Institute of Technology is a private research university in Pasadena, California, right at the foot of the San Gabriel Mountains. Caltech’s campus spans 124 acres and is located just 10 miles northeast of downtown Los Angeles and 30 miles from the ocean. With esteemed science and engineering programs, CalTech is involved with NASA to manage sending probes to explore the planets of our solar system. The school enrolls under 1,000 undergraduate students and boasts a 3:1 student-faculty ratio. Caltech’s Office of Technology Transfer and Corporate Partnerships helps student entrepreneurs through programs, internships and funding to turn their business proposals into reality. Notable alumni include American astronomer Amy Mainzer, computer scientist Fei-Fei-Li, theoretical physicist Kip Thorne and businessman Gordon Moore. ",caltech,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,9174767,71,57,california institute of technology,california institute of technology,91125,91.3,76.0,76.7,84.0,57.3,58.0,75.3,74.09,91125,california institute of technology,pasadena,CA,12.0,22762.0,,0.0314,0.810344827586,,18902.0,83598.0,,142597.0,105700.0,Private
22,california institute of technology,91125,CA,B+,168600.0,2501,Urban,small,"The California Institute of Technology is a private research university in Pasadena, California, right at the foot of the San Gabriel Mountains. Caltech’s campus spans 124 acres and is located just 10 miles northeast of downtown Los Angeles and 30 miles from the ocean. With esteemed science and engineering programs, CalTech is involved with NASA to manage sending probes to explore the planets of our solar system. The school enrolls under 1,000 undergraduate students and boasts a 3:1 student-faculty ratio. Caltech’s Office of Technology Transfer and Corporate Partnerships helps student entrepreneurs through programs, internships and funding to turn their business proposals into reality. Notable alumni include American astronomer Amy Mainzer, computer scientist Fei-Fei-Li, theoretical physicist Kip Thorne and businessman Gordon Moore. ",caltech,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,9174767,71,57,california institute of technology,california institute of technology,91125,91.3,76.0,76.7,84.0,57.3,58.0,75.3,74.09,91125,california institute of technology,pasadena,CA,12.0,22762.0,,0.0314,0.810344827586,,18902.0,83598.0,,142597.0,105700.0,Private
57,california polytechnic state university san luis obispo,93407,CA,,148600.0,23187,Suburban,large,"Cal Poly campus is located in San Luis Obispo on California’s Central Coast halfway between Los Angeles and San Francisco. The school's motto is “Learn by Doing,” and is enforced through faculty that create real-world and hands-on opportunities for students to take their learning outside the classroom. By applying their skills to real-world scenarios, students are mentored by faculty members who are helping architecture students to rebuild communities. Environmental engineering students use nanotechnology to combat climate change and select students spend their summer vacations working on low-cost sensors to keep coastal communities safe and informed. Campus traditions include a popular hike known as the P that is often decorated to spell out messages, the Einstein statue that sits outside the Baker Center that students rub the head of before exams for good luck, and the Serenity Swing where students can enjoy views of San Luis Obispo County and the campus. Notable alumni include American aerospace engineer Burt Rutan, astronaut Victor J. Glover, NFL player Nick Dzubnar, and American businessman Willian H. Swanson. ",california-polytechnic-state-university-san-luis-obispo,Public,Master's Colleges & Universities: Larger Programs,20,20593875,57,42,california polytechnic state university san luis obispo,california polytechnic state university san luis obispo,93407,81.2,85.9,71.7,80.4,82.6,57.2,70.3,75.61,93407,california polytechnic state university san luis obispo,san luis obispo,CA,23.0,11452.0,,0.2975,0.762199563001,15624.0,,29918.0,18500.0,82835.0,63300.0,Public
57,california polytechnic state university san luis obispo,93407,CA,,148600.0,23187,Suburban,large,"Cal Poly campus is located in San Luis Obispo on California’s Central Coast halfway between Los Angeles and San Francisco. The school's motto is “Learn by Doing,” and is enforced through faculty that create real-world and hands-on opportunities for students to take their learning outside the classroom. By applying their skills to real-world scenarios, students are mentored by faculty members who are helping architecture students to rebuild communities. Environmental engineering students use nanotechnology to combat climate change and select students spend their summer vacations working on low-cost sensors to keep coastal communities safe and informed. Campus traditions include a popular hike known as the P that is often decorated to spell out messages, the Einstein statue that sits outside the Baker Center that students rub the head of before exams for good luck, and the Serenity Swing where students can enjoy views of San Luis Obispo County and the campus. Notable alumni include American aerospace engineer Burt Rutan, astronaut Victor J. Glover, NFL player Nick Dzubnar, and American businessman Willian H. Swanson. ",california-polytechnic-state-university-san-luis-obispo,Public,Master's Colleges & Universities: Larger Programs,20,20593875,57,42,california polytechnic state university san luis obispo,california polytechnic state university san luis obispo,93407,81.2,85.9,71.7,80.4,82.6,57.2,70.3,75.61,93407,california polytechnic state university san luis obispo,san luis obispo,CA,23.0,11452.0,,0.2975,0.762199563001,15624.0,,29918.0,18500.0,82835.0,63300.0,Public
255,california state polytechnic university pomona,91768,CA,,133900.0,31117,Suburban,large,"California State Polytechnic University, Pomona is one of three polytechnics in the California State University system. With more than 26,000 undergraduate students, the university implements a “learn-by-doing” approach throughout its curriculum. Across its nine colleges, students can take courses in around 50 academic departments. Popular programs taken by students are in the College of Business Administration, Collins College of Hospitality Management, and the College of Engineering. Undergraduate research is encouraged through the teacher-scholar model in which faculty reinforces tenets of teaching, scholarship, and integration through research. Cal Poly Pomona credits much of its heritage to breakfast cereal giant Will Keith Kellogg, who once lived on the same land that would eventually become part of the university. Students can engage in some 250 organizations, including Greek Life chapters. The Broncos athletic teams compete in the NCAA-affiliated California Collegiate Athletic Association. Notable alumni include Oscar-winning actor Forest Whitaker, Emmy Award-winning producer Larry Wilmore, and Grammy-nominated soprano Carol Vaness. ",california-state-polytechnic-university-pomona,Public,Master's Colleges & Universities: Larger Programs,25,21777552,77,71,california state polytechnic university pomona,california state polytechnic university pomona,91768,55.2,70.3,68.8,62.5,70.8,53.1,61.5,63.17,91768,california state polytechnic university pomona,pomona,CA,21.0,11656.0,,0.737,0.625288535522,11580.0,,22672.0,16000.0,64008.0,49400.0,Public
255,california state polytechnic university pomona,91768,CA,,133900.0,31117,Suburban,large,"California State Polytechnic University, Pomona is one of three polytechnics in the California State University system. With more than 26,000 undergraduate students, the university implements a “learn-by-doing” approach throughout its curriculum. Across its nine colleges, students can take courses in around 50 academic departments. Popular programs taken by students are in the College of Business Administration, Collins College of Hospitality Management, and the College of Engineering. Undergraduate research is encouraged through the teacher-scholar model in which faculty reinforces tenets of teaching, scholarship, and integration through research. Cal Poly Pomona credits much of its heritage to breakfast cereal giant Will Keith Kellogg, who once lived on the same land that would eventually become part of the university. Students can engage in some 250 organizations, including Greek Life chapters. The Broncos athletic teams compete in the NCAA-affiliated California Collegiate Athletic Association. Notable alumni include Oscar-winning actor Forest Whitaker, Emmy Award-winning producer Larry Wilmore, and Grammy-nominated soprano Carol Vaness. ",california-state-polytechnic-university-pomona,Public,Master's Colleges & Universities: Larger Programs,25,21777552,77,71,california state polytechnic university pomona,california state polytechnic university pomona,91768,55.2,70.3,68.8,62.5,70.8,53.1,61.5,63.17,91768,california state polytechnic university pomona,pomona,CA,21.0,11656.0,,0.737,0.625288535522,11580.0,,22672.0,16000.0,64008.0,49400.0,Public
204,california state university chico,95929,CA,,132000.0,17049,Urban,large,"California State University, Chico is the second-oldest university in CSU’s 23-campus system, founded in 1887. Commonly known as Chico State, the 130-acre campus is home to more than 13,000 students where 97% of students hail from California. Chico State offers more than 300 undergraduate majors and minors across seven distinct colleges, with popular majors in business, psychology and pre-nursing. As a Hispanic-Serving Institution, Chico State champions diversity for its students. The Chico STEM Connections Collaborative provides academic support to students from underrepresented ethnic groups. Students can also deepen their learning globally through the university’s study abroad programs, where they can travel to more than 40 countries. More than three-quarters of Chico State students receive financial aid. The university reports a job-placement rate of 100% for many majors. There are more than 200 student organizations at Chico State, including around 30 fraternity and sorority chapters. The Chico State Wildcats are members of the California Collegiate Athletic Association and compete at the Division II level. Right before graduation, Chico State seniors bury time capsules to be opened 50 years later—a longstanding tradition held for more than 90 years.",california-state-university-chico,Public,Master's Colleges & Universities: Larger Programs,20,10673463,72,62,california state university chico,california state university chico,95929,45.1,80.9,71.6,74.5,75.5,60.8,75.5,69.13,95929,california state university chico,chico,CA,12.0,10386.0,,0.9372,0.617200217037,14838.0,,25590.0,16552.0,58630.0,48300.0,Public
