Zip Code_1,school,Type_1,City_1,State_1,State FIPS_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,Retention Rate_1,Student Faculty Ratio_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,overall satisfaction_3,campus setting_3,student housing_3,resources_3,safety_3,teacher support_3,school admin_3,prestige_3,student competitiveness_3,student intelligence_3,party scene_3,greek life_3,student attractiveness_3,average_3,Average Net Price_1
90639,biola university,Private,la mirada,CA,6,21.0,8314.0,1258.0,0.6008,0.625284738041,58430.0,23875.0,54476.0,43000.0,0.848,14.0,335,CA,C,116800.0,6090,Suburban,medium,"Located about 18 miles away from Los Angeles in La Mirada, CA, Biola University offers a Christian education focused on spiritual growth and professional development. There are 64 majors for students to choose from across Biola’s nine undergraduate schools and colleges. Every student is required to take foundational courses in theology and the Bible. The university has merit scholarships ranging up to $20,000 a year for freshmen and transfer students. About 90% of undergraduates receive financial aid, which covers 52% of demonstrated need on average. Biola is home to many student traditions, such as “Mock Rock,” where groups of students lip-sync songs in front of screaming fans, and floor events where roommates find each other a date. In 2017, 70% of students completed at least one internship before graduating, and 90% of students reported finding employment or enrolling in graduate school within six months after graduation.",biola-university,Private not-for-profit,Doctoral/Professional Universities,13,16814027.0,100.0,100.0,63.9,59.3,59.3,59.3,74.1,77.8,61.1,42.6,53.7,60.0,18.5,0.0,72.2,53.98,28101.0
2467,boston college,Private,chestnut hill,MA,25,13.0,17441.0,1501.0,0.1565,0.884201077199,83683.0,19000.0,89620.0,82200.0,0.9513,13.0,59,MA,B+,142200.0,16849,Urban,large,"Boston College is a private Jesuit research university in Chestnut Hill, Massachusetts. There are more than 273 student-run groups for BC students to join and about 3,600 student interviews conducted on campus each year through the Career Center. The Campus Activities Board is a student-led group that coordinates campus-wide programs, fosters school spirit, and organizes events such as concerts, the homecoming dance, trivia nights, pub series, and off-campus trips to Boston. Senior week, takes place just before Commencement and consists of a Dance Through the Decades, an Alumni Toast, and a Commencement Ball. Alumni include actress Amy Poehler, actor Chris O’Donnell, United States senator Edward Markey and football quarterback Matt Ryan. ",boston-college,Private not-for-profit,Doctoral Universities: Very High Research Activity,12,50592266.0,53.0,40.0,69.2,77.6,58.3,76.3,81.4,66.0,57.1,78.7,64.1,65.4,63.5,12.8,75.0,65.03,39866.0
2215,boston university,Private,boston,MA,25,11.0,16124.0,1473.0,0.1085,0.763843648208,82694.0,23250.0,73661.0,63400.0,0.9423,10.0,53,MA,B,144400.0,43952,Urban,large,"Situated along the Charles River in Massachusetts is Boston University, where its main campus spans 140 acres across more than 300 buildings in the heart of the city. The private university offers more than 300 programs of study from more than 15 schools and colleges. BU counted over 36,000 total students in 2022. A leading research institution, Boston University was awarded more than $500 million in research awards for the fiscal year 2022. The university also houses more than 130 centers & institutes for research. Students have access to smaller class sizes due to BU’s 11:1 student-to-faculty ratio and can take advantage of over 80 study abroad programs. Outside of academic life, students can immerse themselves in BU culture and join the 7,000+ club and intramural sports participants. Terrier traditions involve feasting on the school’s annual Lobster Night and putting ice hockey skills to the test against rival schools Northeastern and Harvard University. BU’s historical alumni base includes inventor Alexander Graham Bell and Dr. Martin Luther King, Jr.",boston-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,98591645.0,53.0,48.0,67.0,58.9,56.3,77.8,68.5,61.5,52.2,73.3,64.8,62.2,66.7,38.1,71.5,62.98,26996.0
4011,bowdoin college,Private,brunswick,ME,23,31.0,14059.0,1514.0,0.0802,0.941860465116,80390.0,18500.0,79520.0,62700.0,0.9697,9.0,25,ME,A+,152900.0,1989,Rural,small,"The town of Brunswick, Maine is home to Bowdoin College, a small, private liberal arts school. With a population of roughly two-thousand students, Bowdoin presents the comforts of a tight-knit community and a comprehensive liberal arts education from over 40 majors across more than 30 departments. Students who earn a bachelor of arts degree from Bowdoin often go on to be employed by the likes of Google, Goldman Sachs, and the United States Government. In July 2023, Bowdoin officially welcomed its 16th president, Safa Zaki—the first woman to ever hold the position. The university prides itself on generous financial aid offerings, being only one of seven colleges in the U.S. that are need-blind for each applicant. Half of all students receive financial aid, and Bowdoin forgoes including any loans in its aid packages. As an added bonus, each student who graduates is gifted a MacBook Pro, an iPad mini, and an Apple Pencil. Outside of digital perks, students can immerse themselves in campus life by participating in the university’s Lobster Bake to welcome new and returning students, meeting Bowdoin's Polar Bear mascot, or expanding friendship circles by enjoying ""Dinner with Six Strangers.” Notable alumni include novelist Nathaniel Hawthorne and Netflix cofounder, chairman, and CEO Reed Hastings.",bowdoin-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,14293523.0,55.0,52.0,66.1,79.8,92.9,79.8,85.7,78.6,81.0,46.4,73.8,64.3,39.3,2.4,38.1,63.71,20786.0
61625,bradley university,Private,peoria,IL,17,12.0,9484.0,1237.0,0.7666,0.703872437358,52730.0,27000.0,65264.0,50600.0,0.8352,11.0,230,IL,C,123500.0,6112,Urban,medium,"Bradley University is a private research institution in Peoria, IL., that offers the resources of a big school with the personalized attention of a smaller one. Though Bradley was originally founded as a polytechnic school, it now has eight different schools, including the Turner School of Entrepreneurship and Innovation, and its academic offerings are diverse; nearly 10% of students major in the visual and performing arts. Bradley’s campus is within three hours of Chicago, Indianapolis and St. Louis. There are more than 70,000 Bradley alumni. Bradley welcomes many of these alumni back to campus during homecoming weekend by lighting a large bright red “B” atop Bradley Hall. Accomplished Bradley alumni include Robert Lawrence, the United States’ first Black astronaut in the United States, and Rene C. Byer '80, Pulitzer Prize-winning photojournalist.",bradley-university,Private not-for-profit,Doctoral/Professional Universities,12,27733728.0,100.0,100.0,64.6,68.1,51.4,54.2,50.0,75.0,45.8,61.1,62.5,72.2,56.9,76.4,59.7,61.38,23572.0
2454,brandeis university,Private,waltham,MA,25,13.0,14477.0,1473.0,0.3531,0.76,82123.0,25648.0,69857.0,57700.0,0.9091,11.0,105,MA,B,153600.0,6026,Urban,medium,"Brandeis University is a private research institution with a liberal arts focus in Waltham/Boston, Massachusetts. The campus is located on 235-acres and the residence and community unite through events such as the Festival of the Arts, a campus wide event to celebrate the creativity of students, faculty and staff, and distinguished guest artists. Free pizza at midnight during finals and intramural sports such as bubble soccer, water battleship, and pickleball foster a sense of unity and excitement outside of the classroom. The Hiatt Career Center on campus is there to help all students whether you are a first-year student still weighing what majors are a good fit for you or a senior ready to complete job applications. The Rise Together Mentor Network is a virtual space where Brandeis students can practice networking skills and connect with alumni mentors. Light the Night is an annual first-year tradition to close out the first day of New Undergraduate Student Orientation; students are given blue lanterns and write down a hope or dream for their time at Brandeis. Afterwards, the freshmen share their first dinner together on the Great Lawn. Other traditions include Springfest with an annual concert held on Chapels Field the weekend before final exams. Notable alumni include businessman Jeffrey Lurie, actress Debra Messing, actor Tony Goldwyn, and philosopher and author Angela Davis. ",brandeis-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,20341071.0,68.0,64.0,73.8,63.3,56.7,80.0,85.8,80.0,52.5,78.3,74.2,80.0,36.8,22.8,45.0,63.78,33885.0
84602,brigham young university,Private,provo,UT,49,12.0,13861.0,1376.0,0.6919,0.547360539124,20879.0,11069.0,66055.0,58800.0,0.894,21.0,36,UT,A+,133900.0,39321,Urban,large,"Brigham Young University in Provo, Utah is a private research university located at the foot of the Wasatch Mountains. BYU offers nearly 200 undergraduate majors and over 100 undergraduate minors, with the most popular majors being computer science, psychology, and exercise science. Tuition differs for members of The Church of Jesus Christ of Latter-day Saints versus non-members, with LDS Church members paying about half as much in tuition costs. Named after religious leader Brigham Young, the university is backed by the Church of Jesus Christ of Latter-day Saints and adheres to the principles of the faith. BYU offers a number of campus activities, including concerts and performances from the university’s arts and museums. Another big part of campus life is BYU’s athletics, where students and fans can sing the Cougar fight song at sporting events. Notable alumni include U.S. Senator Mitt Romney and Twilight author Stephenie Meyer.",brigham-young-university,Private not-for-profit,Doctoral Universities: High Research Activity,21,15248935.0,63.0,46.0,83.1,81.3,56.3,84.7,95.3,69.6,61.0,76.1,77.8,82.0,14.9,6.5,77.5,66.62,14487.0
2912,brown university,Private,providence,RI,44,12.0,17335.0,1546.0,0.0523,0.909233176839,84986.0,11428.0,84208.0,76500.0,0.9865,6.0,18,RI,A,155000.0,11151,Urban,large,"Brown University is a private Ivy League research university in Providence, Rhode Island. At Brown, students engage in debates and conversations with an element of passion and respect. Outside the classroom, there are more than 500 clubs and student organizations such as Brown Space Engineering, the Sustainable Food Initiative, the Darkroom Photography Club, the Ivy Film Festival, fraternities and sororities, and many more. The University’s open curriculum is fueled by curiosity and fosters a community of collaborative research, innovative startups, artistic performance and social actions. There are more than 900 student-athletes that compete across 38 varsity sports teams. Brown traditions include the “shopping period” at the start of every semester where students have the ability to explore subjects and courses that are in line with their interests. Brown campus legend has it that if you pass through the Van Wickle Gates’ main door more than twice, you will be cursed. This middle gate only opens three times a year: convocation, mid year convocation, and graduation. Campus Dance is a decades-old Brown tradition and occurs annually on graduation weekend for the biggest outdoor party of the year. Notable alumni include actress Emma Watson, United States Secretary of Treasury Janet Yellen, actor John Krasinski, attorney John F. Kennedy Jr., and businessman John Sculley. ",brown-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,43337341.0,55.0,46.0,83.1,76.6,58.1,78.8,74.8,77.9,60.8,91.0,69.8,89.6,63.5,37.4,60.4,70.91,26572.0
19010,bryn mawr college,Private,bryn mawr,PA,42,21.0,11943.0,1404.0,0.3106,0.75,79380.0,25000.0,63818.0,51300.0,0.8997,8.0,180,PA,A+,118000.0,1811,Suburban,small,"Bryn Mawr is a women’s college that is located in Bryn Mawr, Pennsylvania on a residential campus outside Philadelphia, with two distinctive coed graduate schools and a post-baccalaureate premedical program that offer opportunities for advanced study. Bryn Mawr expands academic reach for its students through long-standing partnerships with Haverford and Swarthmore Colleges and the University of Pennsylvania, as well as through cultural and social resources in Philadelphia. The college has traditions that are campus-wide events that happen throughout the school year. Parade Night is a celebration of the completion of the first week of classes where first year students are paired with the juniors as their sibling class to mentor first year students. Lantern Night is a fall semester event where first-year students are presented with their lanterns by sophomores to welcome and pass knowledge onto the incoming class. Notable alumni include actress Katharine Hepburn and Maggie Siff, Executive Chairman of the Santander Group Ana Patricia Botin, and former United States Representative Allyson Shwartz.",bryn-mawr-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,10875539.0,82.0,73.0,84.6,93.8,74.4,64.1,85.9,80.8,62.8,70.5,70.5,76.9,19.4,0.0,50.0,64.13,40690.0
17837,bucknell university,Private,lewisburg,PA,42,32.0,12727.0,1389.0,0.3201,0.876963350785,79956.0,27000.0,88483.0,73700.0,0.9322,9.0,93,PA,B+,155500.0,3847,Rural,medium,"Bucknell University is a private liberal arts college in Lewisburg, Pennsylvania with three colleges: Arts and Sciences, Engineering and the Freeman College of Management. The Freeman College of Management allows students to immerse themselves in real experiences and explore their futures by going inside the New York Stock Exchange and Silicon Valley’s tech firms. Freeman College students can start their own companies with Bucknell seed money and through The Student Managed Investment Fund juniors and seniors manage investments from nearly $3 million of endowment from the University. Off campus, Bucknellians can explore the historic town of Lewisburg, venture to one of eight state parks that are located less than an hour from campus, or travel 3 hours to Philadelphia. Notable alumni include, author and founding partner of the seed stage venture firm Y Combinator Jessica Livingston, American executive Les Moonves, and entrepreneur Jessica Jackley. ",bucknell-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,21644962.0,61.0,56.0,65.0,85.0,65.0,65.0,93.3,81.7,70.0,78.3,70.0,73.3,90.7,77.8,83.3,76.8,40429.0
91360,california lutheran university,Private,thousand oaks,CA,6,12.0,10463.0,1224.0,0.8888,0.692415730337,63768.0,21669.0,64258.0,48900.0,0.8077,13.0,395,CA,C,122000.0,4330,Urban,medium,"California Lutheran University is a private institution in Thousand Oaks, CA, that is one of the few universities affiliated with the Evangelical Lutheran Church in America. Undergraduates can choose from over 40 majors. Popular programs include business administration, psychology and biology. Over half of students participate in an internship during their time at Cal Lutheran. Students can take part in around 100 student organizations. The campus ministry hosts a weekly chapel service and additional faith-based programming. Cal Lutheran has been designated a Hispanic-serving institution, and more than half of the undergraduate population identifies as non-white. Students can earn awards up to full-tuition through the Presidential, Steven Dorfman and Transfer Achievement Scholarships. Cal Lutheran also offers talent, legacy and faith-based scholarships.",california-lutheran-university,Private not-for-profit,Master's Colleges & Universities: Larger Programs,14,14839607.0,100.0,99.0,78.4,69.7,64.4,63.6,87.9,90.2,75.0,60.6,60.6,64.4,42.4,9.1,58.3,63.43,26433.0
55057,carleton college,Private,northfield,MN,27,32.0,12173.0,1491.0,0.2228,0.915841584158,81350.0,16750.0,70720.0,52500.0,0.9568,8.0,222,MN,A-,141500.0,2074,Rural,small,"A private liberal arts college in Northfield, Minn., Carleton College combines a strong liberal arts education with a host of unique traditions. With just over 2,000 students, the school offers more than 1,000 courses in 33 majors with 38 minors. Students can receive specialized attention, thanks to the college’s 8:1 student-to-faculty ratio, and average class sizes contain 15 students. Off-campus studies make up a large portion of the academic experience, where 70% of students study off-campus on both an international and domestic basis. Carleton runs on a 10-week trimester system, with students typically taking three classes a semester. Carelton hosts more than 200 student clubs and organizations. More than 70% of students participate in sporting activities, whether on the varsity, club, or intramural level. The Carleton Knights NCAA Division III football team competes in the Minnesota Intercollegiate Athletic Conference. Student traditions include the Freshman Frisbee Toss to kick off a student’s freshman year, the International Festival that celebrates a wide range of cultures, and Rotblatt, the marathon softball game that is considered the “the world’s longest college intramural sport” by the university.",carleton-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,15591559.0,79.0,60.0,84.6,83.3,69.2,78.2,92.3,89.7,76.9,87.5,72.2,89.7,55.6,0.0,45.8,71.15,27320.0
15213,carnegie mellon university,Private,pittsburgh,PA,42,11.0,13724.0,1545.0,0.114,0.651127819549,80514.0,21750.0,105524.0,92200.0,0.9716,5.0,58,PA,A+,162100.0,16296,Urban,large,"Carnegie Mellon University is a private, global research university founded by world-renowned industrialist Andrew Carnegie. Represented by more than 100 countries, Carnegie Mellon’s global presence expands to locations such as Australia and Qatar. The university offers programs from seven schools and colleges to a student body of more than 14,500 students. The Pittsburgh-based institution boasts notable accomplishments within its arts and science disciplines and serves as a leading hub for cybersecurity, developed the world's first university robotics department, and was the first school in the U.S. to award a degree in drama. Students can benefit from the Pittsburgh scene, through residential life, community service, and career development opportunities. Outside of academics, students can also participate in a number of campus traditions like enjoying the kilt-wearing “Kiltie Band,” or visiting The Fence—once known as the “​​most painted object in the world"" until 1993 by the Guinness Book of World Records. Carnegie Mellon maintains an impressive alumni network, producing 20 Nobel Laureates. Other notable alumni include Duolingo CEO and co-founder Luis von Ahn, visual artist Andy Warhol, and James Gosling, inventor of the Java computer programming language. ",carnegie-mellon-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,39393267.0,56.0,47.0,71.2,62.3,53.7,78.1,74.4,69.2,49.6,92.2,89.9,87.3,45.7,49.6,40.1,66.41,31671.0
